tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
Central Desk,Preparer,Investment,2022 TY,"$19,710",Standard,"$9,850","$68,980",Single,2-page,6.20%,Simple,On time,Yes,No,12187.87,5 stars,9,10,1 dependent,"$13,850",$0,Yes
North Desk,Walk-in,Contract,2022 TY,"$19,450",Standard,"$33,340","$2,780",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,6143.07,5 stars,5,11,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Self-employed,2021 TY,"$12,780",Standard,"$68,170","$4,260",Single,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,7580.78,5 stars,8,14,2 dependents,"$13,850","$3,200",Yes
Harbor Desk,Preparer,Self-employed,2020 TY,"$4,090",Standard,"$21,820","$1,360",Head of Household,2-page,0.00%,Simple,No filing yet,Yes,No,518.7,4 stars,8,3,2 dependents,"$20,800",$0,No
Harbor Desk,Online,Self-employed,2021 TY,"$14,510",Standard,"$77,370","$4,840",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,No,15069.08,5 stars,8,15,0 dependents,"$27,700",$0,Yes
North Desk,Online,Royalty,2023 TY,"$3,230",Standard,"$6,460","$22,600",Qualifying Widow,2-page,3.00%,Simple,On time,Yes,Yes,0.0,5 stars,8,3,1 dependent,"$27,700","$1,600",Yes
North Desk,Online,Wages,2022 TY,"$93,310",Itemized,"$3,040","$5,070",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,15923.46,5 stars,9,16,0 dependents,"$26,520",$0,Yes
North Desk,Online,Wages,2021 TY,"$19,160",Standard,$620,"$1,040",Married Joint,2-page,5.50%,Simple,On time,No,No,0.0,4 stars,5,2,4 dependents,"$27,700","$6,400",Yes
North Desk,Online,Mixed,2023 TY,"$24,870",Standard,"$11,310","$9,040",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,2051.67,5 stars,3,10,0 dependents,"$27,700",$0,No
Harbor Desk,Online,Mixed,2019 TY,"$49,790",Itemized,"$22,630","$18,100",Married Joint,8-page,7.00%,Schedule-heavy,On time,Yes,No,7297.13,5 stars,6,15,0 dependents,"$46,370",$0,Yes
North Desk,Online,Wages,2021 TY,"$93,790",Standard,"$3,060","$5,100",Head of Household,8-page,6.20%,Schedule-heavy,On time,No,No,14294.07,4 stars,3,16,1 dependent,"$20,800","$1,600",Yes
River Desk,Preparer,Self-employed,2021 TY,"$12,350",Standard,"$65,870","$4,120",Qualifying Widow,2-page,4.75%,Simple,On time,Yes,Yes,9882.04,5 stars,0,9,0 dependents,"$27,700",$0,Yes
River Desk,Preparer,Wages,Not Available,"$69,470",Standard,"$2,270","$3,780",Head of Household,8-page,5.50%,Schedule-heavy,On time,No,No,9483.75,4 stars,4,13,1 dependent,"$20,800",$0,Yes
Central Desk,Preparer,Contract,2023 TY,"$23,620",Standard,"$40,490","$3,370",Single,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,7709.68,5 stars,6,12,1 dependent,"$13,850","$1,600",Yes
Central Desk,Online,Wages,2022 TY,"$34,380",Standard,"$1,120","$1,870",Single,2-page,6.20%,Simple,On time,Yes,Yes,4424.37,5 stars,6,4,0 dependents,"$13,850",$400,Yes
Highland Desk,Preparer,Wages,2019 TY,"$46,220",Itemized,"$1,510","$2,510",Married Joint,2-page,0.00%,Simple,No filing yet,Yes,Yes,0.0,4 stars,5,5,1 dependent,"$48,700","$1,600",No
Prairie Desk,Online,Wages,2020 TY,"$30,280",Standard,$990,"$1,650",Single,2-page,4.75%,Simple,On time,Yes,No,838.07,5 stars,8,3,3 dependents,"$13,850",$0,Yes
Prairie Desk,Online,Wages,2023 TY,"$28,810",Standard,$940,"$1,570",Married Separate,2-page,4.75%,Simple,On time,Yes,Yes,0.0,5 stars,3,3,2 dependents,"$13,850","$3,200",Yes
North Desk,Online,Wages,2021 TY,"$65,910",Standard,"$2,150","$3,580",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,3735.88,5 stars,7,12,1 dependent,"$27,700","$1,600",Yes
Harbor Desk,Walk-in,Wages,Not Available,"$32,240",Standard,"$1,050","$1,750",Married Joint,2-page,4.75%,Simple,On time,No,No,1687.47,4 stars,3,3,0 dependents,"$27,700",$0,Yes
Harbor Desk,Walk-in,Wages,2023 TY,"$64,100",Standard,"$2,090","$3,480",Head of Household,8-page,0.00%,Schedule-heavy,On time,Yes,No,6947.52,5 stars,11,12,0 dependents,"$20,800",$0,No
Harbor Desk,Preparer,Wages,2022 TY,"$28,300",Standard,$920,"$1,540",Married Joint,8-page,7.00%,Schedule-heavy,3-year amend,No,Yes,0.0,3 stars,11,8,2 dependents,"$27,700","$3,600",Yes
Highland Desk,Preparer,Wages,2023 TY,"$63,580",Standard,"$2,070","$3,460",Single,8-page,0.00%,Schedule-heavy,On time,No,Yes,5857.67,4 stars,6,12,2 dependents,"$13,850",$0,No
Central Desk,Online,Wages,Not Available,"$46,250",Itemized,"$1,510","$2,510",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,1547.62,5 stars,5,10,1 dependent,"$16,710","$1,600",No
North Desk,Preparer,Wages,2022 TY,"$88,100",Standard,"$2,870","$4,790",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,No,8685.26,4 stars,10,10,2 dependents,"$27,700","$3,200",Yes
Central Desk,Online,Wages,2023 TY,"$64,190",Itemized,"$2,090","$3,490",Married Joint,2-page,5.50%,Simple,On time,No,No,4241.97,4 stars,5,7,0 dependents,"$45,840",$0,Yes
Highland Desk,Online,Wages,2023 TY,"$84,330",Standard,"$2,750","$4,580",Single,2-page,0.00%,Simple,On time,Yes,Yes,9664.56,5 stars,9,10,1 dependent,"$13,850","$1,600",No
North Desk,Walk-in,Wages,2021 TY,"$40,360",Standard,"$1,320","$2,190",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,2554.65,5 stars,1,9,0 dependents,"$27,700",$0,Yes
Prairie Desk,Walk-in,Wages,2023 TY,"$58,280",Standard,"$1,900","$3,170",Married Separate,16-page,5.50%,Audit-ready,2-year amend,Yes,No,9271.45,3 stars,10,12,0 dependents,"$13,850",$0,Yes
North Desk,Online,Investment,2020 TY,"$9,400",Standard,"$4,700","$32,890",Head of Household,2-page,0.00%,Simple,On time,Yes,Yes,1432.98,5 stars,11,5,1 dependent,"$20,800",$200,No
Delta Desk,Online,Royalty,2023 TY,"$6,460",Standard,"$12,930","$45,240",Married Joint,16-page,7.00%,Audit-ready,On time,No,Yes,2631.53,3 stars,2,12,0 dependents,"$27,700",$0,Yes
North Desk,Online,Contract,2023 TY,"$20,880",Standard,"$35,800","$2,980",Married Joint,16-page,4.75%,Audit-ready,No filing yet,Yes,No,0.0,3 stars,4,11,3 dependents,"$27,700","$4,800",Yes
Prairie Desk,Online,Mixed,2022 TY,"$30,920",Standard,"$14,060","$11,240",Single,2-page,5.50%,Simple,No filing yet,Yes,Yes,7037.45,4 stars,16,6,0 dependents,"$13,850",$400,Yes
Prairie Desk,Online,Mixed,2022 TY,"$22,840",Itemized,"$10,380","$8,310",Married Joint,8-page,0.00%,Schedule-heavy,3-year amend,No,Yes,0.0,3 stars,9,9,2 dependents,"$32,880","$3,200",No
Delta Desk,Preparer,Wages,2022 TY,"$25,830",Standard,$840,"$1,400",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,1456.61,5 stars,8,8,2 dependents,"$13,850",$0,Yes
Capitol Desk,Online,Investment,2020 TY,"$2,400",Standard,"$1,200","$8,400",Married Joint,2-page,6.20%,Simple,2-year amend,Yes,No,0.0,4 stars,7,1,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Online,Investment,2021 TY,"$8,610",Standard,"$4,310","$30,150",Married Joint,2-page,0.00%,Simple,On time,Yes,No,0.0,5 stars,5,4,3 dependents,"$27,700","$4,800",No
River Desk,Online,Pension,2021 TY,"$49,330",Itemized,$0,"$8,710",Single,2-page,0.00%,Simple,No filing yet,Yes,Yes,3493.7,4 stars,12,6,0 dependents,"$18,420",$0,No
Capitol Desk,Preparer,Contract,2022 TY,"$7,780",Standard,"$13,350","$1,110",Single,8-page,3.00%,Schedule-heavy,2-year amend,Yes,No,895.4,4 stars,10,7,0 dependents,"$13,850",$0,Yes
North Desk,Online,Mixed,2022 TY,"$20,330",Standard,"$9,240","$7,390",Single,2-page,0.00%,Simple,On time,Yes,No,1738.34,5 stars,5,4,0 dependents,"$13,850",$800,No
Highland Desk,Online,Investment,2021 TY,"$38,230",Itemized,"$19,110","$133,790",Head of Household,8-page,7.00%,Schedule-heavy,On time,Yes,No,23346.72,5 stars,0,26,0 dependents,"$43,600",$0,Yes
Highland Desk,Preparer,Investment,2023 TY,"$12,980",Standard,"$6,490","$45,430",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,No,0.0,5 stars,4,12,2 dependents,"$27,700","$3,200",Yes
Prairie Desk,Preparer,Wages,2021 TY,"$64,130",Standard,"$2,090","$3,490",Single,8-page,5.50%,Schedule-heavy,No filing yet,Yes,No,9992.79,4 stars,11,12,1 dependent,"$13,850",$0,Yes
Central Desk,Online,Contract,2022 TY,"$29,740",Standard,"$50,990","$4,250",Head of Household,2-page,7.00%,Simple,On time,Yes,Yes,13609.42,5 stars,10,9,0 dependents,"$20,800",$0,Yes
Central Desk,Preparer,Wages,2022 TY,"$71,670",Standard,"$2,340","$3,900",Married Joint,2-page,6.20%,Simple,No filing yet,Yes,No,9225.38,4 stars,10,8,0 dependents,"$27,700",$0,Yes
River Desk,Online,Royalty,2020 TY,"$1,810",Standard,"$3,610","$12,640",Married Joint,2-page,6.20%,Simple,On time,Yes,No,0.0,5 stars,9,2,1 dependent,"$27,700","$1,600",Yes
Harbor Desk,Preparer,Investment,2023 TY,"$17,200",Itemized,"$8,600","$60,190",Head of Household,2-page,4.75%,Simple,On time,No,No,0.0,4 stars,1,9,2 dependents,"$42,650","$3,200",Yes
North Desk,Online,Wages,2022 TY,"$21,310",Standard,$690,"$1,160",Single,2-page,4.75%,Simple,On time,No,No,1185.73,4 stars,6,2,0 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Self-employed,2019 TY,"$23,860",Standard,"$127,250","$7,950",Single,2-page,3.00%,Simple,2-year amend,Yes,No,31874.96,4 stars,10,17,2 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Wages,Not Available,"$21,830",Standard,$710,"$1,190",Married Joint,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,5,2,1 dependent,"$27,700","$1,600",Yes
Harbor Desk,Preparer,Investment,2023 TY,"$8,700",Itemized,"$4,350","$30,460",Single,2-page,4.75%,Simple,On time,Yes,Yes,0.0,5 stars,11,4,2 dependents,"$23,140","$3,200",Yes
Central Desk,Walk-in,Investment,2023 TY,"$8,780",Standard,"$4,390","$30,720",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,0.0,5 stars,11,4,0 dependents,"$27,700",$800,No
Central Desk,Online,Self-employed,2023 TY,"$2,570",Itemized,"$13,700",$860,Single,2-page,4.75%,Simple,2-year amend,No,No,633.06,3 stars,5,1,1 dependent,"$23,370",$200,Yes
Central Desk,Preparer,Pension,2023 TY,"$59,200",Standard,$0,"$10,450",Single,8-page,4.75%,Schedule-heavy,No filing yet,No,No,9896.91,3 stars,11,12,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Wages,2021 TY,"$110,530",Standard,"$3,600","$6,010",Single,2-page,3.00%,Simple,On time,Yes,No,21417.16,5 stars,10,13,0 dependents,"$13,850",$0,Yes
River Desk,Online,Wages,2022 TY,"$46,540",Standard,"$1,520","$2,530",Married Joint,16-page,0.00%,Audit-ready,On time,Yes,Yes,0.0,4 stars,8,10,2 dependents,"$27,700","$3,200",No
Harbor Desk,Online,Wages,2022 TY,"$27,890",Standard,$910,"$1,520",Single,8-page,4.75%,Schedule-heavy,On time,No,No,2645.47,4 stars,4,8,1 dependent,"$13,850",$0,Yes
Delta Desk,Preparer,Wages,2021 TY,"$11,040",Standard,$360,$600,Single,2-page,4.75%,Simple,On time,Yes,Yes,703.05,5 stars,9,1,0 dependents,"$13,850",$0,Yes
Prairie Desk,Preparer,Mixed,2021 TY,"$38,870",Standard,"$17,670","$14,140",Head of Household,16-page,5.50%,Audit-ready,No filing yet,Yes,Yes,6321.0,3 stars,9,12,2 dependents,"$20,800",$0,Yes
Highland Desk,Walk-in,Wages,2020 TY,"$50,050",Itemized,"$1,630","$2,720",Single,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,6281.24,5 stars,10,11,0 dependents,"$20,660",$0,Yes
Central Desk,Preparer,Wages,2023 TY,"$42,660",Standard,"$1,390","$2,320",Single,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,2914.3,5 stars,8,10,1 dependent,"$13,850","$1,600",Yes
Highland Desk,Walk-in,Mixed,2023 TY,"$46,550",Standard,"$21,160","$16,930",Single,2-page,0.00%,Simple,No filing yet,Yes,No,1060.66,4 stars,11,9,4 dependents,"$13,850","$6,400",No
Prairie Desk,Walk-in,Pension,2023 TY,"$46,170",Standard,$0,"$8,150",Single,2-page,3.00%,Simple,On time,Yes,Yes,2978.84,5 stars,5,6,1 dependent,"$13,850","$1,600",Yes
River Desk,Preparer,Wages,2021 TY,"$64,170",Standard,"$2,090","$3,490",Single,2-page,0.00%,Simple,On time,Yes,Yes,2184.38,5 stars,0,7,2 dependents,"$13,850","$3,600",No
Capitol Desk,Online,Contract,2021 TY,"$20,350",Standard,"$34,890","$2,910",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,3086.48,5 stars,5,11,1 dependent,"$27,700",$0,Yes
Highland Desk,Online,Mixed,2022 TY,"$24,720",Standard,"$11,240","$8,990",Single,2-page,7.00%,Simple,On time,No,Yes,1487.97,4 stars,11,4,2 dependents,"$13,850","$3,200",Yes
River Desk,Preparer,Wages,2022 TY,"$71,740",Itemized,"$2,340","$3,900",Head of Household,2-page,3.00%,Simple,On time,No,No,4502.47,4 stars,7,8,1 dependent,"$40,580","$1,600",Yes
Harbor Desk,Walk-in,Mixed,2023 TY,"$43,110",Itemized,"$19,590","$15,680",Head of Household,2-page,3.00%,Simple,On time,Yes,Yes,1558.93,5 stars,8,8,1 dependent,"$42,680","$1,600",Yes
Capitol Desk,Online,Wages,2023 TY,"$76,650",Standard,"$2,500","$4,170",Single,2-page,5.50%,Simple,On time,Yes,Yes,13169.44,5 stars,7,9,0 dependents,"$13,850",$0,Yes
Harbor Desk,Online,Wages,2023 TY,"$74,480",Standard,"$2,430","$4,050",Single,2-page,4.75%,Simple,On time,No,No,9437.78,4 stars,7,8,2 dependents,"$13,850","$3,200",Yes
River Desk,Online,Mixed,2023 TY,"$19,440",Itemized,"$8,840","$7,070",Single,2-page,0.00%,Simple,On time,Yes,Yes,0.0,5 stars,0,3,0 dependents,"$25,920",$800,No
Prairie Desk,Online,Wages,Not Available,"$25,370",Itemized,$830,"$1,380",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,378.6,5 stars,4,8,4 dependents,"$50,020",$0,No
North Desk,Preparer,Wages,2022 TY,"$40,360",Itemized,"$1,320","$2,190",Single,2-page,7.00%,Simple,On time,Yes,Yes,2595.6,5 stars,1,4,0 dependents,"$24,610",$400,Yes
River Desk,Online,Mixed,2019 TY,"$25,470",Standard,"$11,580","$9,260",Head of Household,2-page,0.00%,Simple,On time,Yes,Yes,1948.2,5 stars,4,5,0 dependents,"$20,800",$0,No
North Desk,Online,Wages,2020 TY,"$73,720",Standard,"$2,400","$4,010",Married Separate,2-page,5.50%,Simple,On time,No,Yes,8545.36,4 stars,8,8,2 dependents,"$13,850","$3,200",Yes
Capitol Desk,Preparer,Pension,2022 TY,"$45,580",Itemized,$0,"$8,040",Head of Household,2-page,6.20%,Simple,On time,Yes,Yes,2436.36,5 stars,9,5,0 dependents,"$26,390",$0,Yes
North Desk,Online,Wages,2021 TY,"$81,310",Standard,"$2,650","$4,420",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,9080.99,5 stars,2,9,0 dependents,"$27,700",$0,Yes
Delta Desk,Online,Farm,2020 TY,"$17,170",Standard,"$48,080","$3,430",Qualifying Widow,2-page,5.50%,Simple,No filing yet,No,Yes,3404.93,3 stars,12,7,2 dependents,"$27,700","$3,400",Yes
North Desk,Preparer,Investment,Not Available,"$21,770",Itemized,"$10,880","$76,190",Single,16-page,0.00%,Audit-ready,On time,Yes,No,8484.47,4 stars,2,17,0 dependents,"$21,030",$0,No
Delta Desk,Online,Farm,2020 TY,"$23,600",Itemized,"$66,070","$4,720",Married Joint,16-page,3.00%,Audit-ready,No filing yet,No,Yes,7277.97,2 stars,2,15,0 dependents,"$50,240",$0,Yes
Capitol Desk,Walk-in,Pension,Not Available,"$47,190",Standard,$0,"$8,330",Single,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,4981.43,5 stars,11,11,1 dependent,"$13,850",$400,Yes
River Desk,Preparer,Wages,2023 TY,"$58,540",Standard,"$1,910","$3,180",Head of Household,8-page,7.00%,Schedule-heavy,On time,Yes,No,6138.46,5 stars,7,12,0 dependents,"$20,800",$0,Yes
Capitol Desk,Walk-in,Mixed,2023 TY,"$67,330",Standard,"$30,600","$24,480",Married Joint,2-page,3.00%,Simple,On time,No,Yes,15958.41,4 stars,2,13,0 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Wages,2023 TY,"$59,580",Itemized,"$1,940","$3,240",Head of Household,2-page,0.00%,Simple,On time,No,No,3251.27,4 stars,1,7,0 dependents,"$40,330",$0,No
Delta Desk,Preparer,Investment,2021 TY,"$16,430",Itemized,"$8,220","$57,520",Single,2-page,7.00%,Simple,No filing yet,No,Yes,7987.5,3 stars,2,9,0 dependents,"$22,920",$0,Yes
Harbor Desk,Preparer,Mixed,2023 TY,"$29,080",Itemized,"$13,220","$10,570",Qualifying Widow,8-page,0.00%,Schedule-heavy,No filing yet,No,No,1171.9,3 stars,8,10,0 dependents,"$59,350",$0,No
River Desk,Preparer,Wages,2020 TY,"$72,560",Standard,"$2,370","$3,940",Married Joint,2-page,6.20%,Simple,No filing yet,Yes,No,9440.05,4 stars,3,8,0 dependents,"$27,700",$0,Yes
North Desk,Online,Contract,Not Available,"$35,570",Itemized,"$60,980","$5,080",Married Joint,2-page,5.50%,Simple,On time,Yes,Yes,6245.88,5 stars,7,11,1 dependent,"$54,790",$0,Yes
River Desk,Online,Wages,2021 TY,"$55,920",Standard,"$1,820","$3,040",Qualifying Widow,2-page,5.50%,Simple,On time,Yes,Yes,3343.68,5 stars,5,6,1 dependent,"$27,700","$1,600",Yes
Harbor Desk,Online,Mixed,2021 TY,"$64,480",Standard,"$29,310","$23,450",Married Joint,2-page,6.20%,Simple,On time,No,No,18208.42,4 stars,7,13,0 dependents,"$27,700",$0,Yes
Highland Desk,Preparer,Self-employed,2023 TY,"$1,800",Standard,"$9,600",$600,Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,No,943.51,5 stars,2,6,0 dependents,"$27,700",$0,Yes
Highland Desk,Preparer,Wages,2023 TY,"$55,820",Standard,"$1,820","$3,030",Married Joint,2-page,0.00%,Simple,On time,Yes,No,2832.92,5 stars,1,6,2 dependents,"$27,700",$400,No
Central Desk,Online,Mixed,2022 TY,"$42,240",Itemized,"$19,200","$15,360",Single,2-page,7.00%,Simple,On time,No,No,7229.32,4 stars,1,8,1 dependent,"$23,130","$1,600",Yes
Highland Desk,Preparer,Investment,2023 TY,"$12,040",Standard,"$6,020","$42,140",Single,2-page,7.00%,Simple,On time,No,Yes,5357.53,4 stars,1,6,0 dependents,"$13,850",$0,Yes
Capitol Desk,Preparer,Wages,2020 TY,"$109,680",Itemized,"$3,580","$5,960",Single,8-page,6.20%,Schedule-heavy,No filing yet,No,No,19885.25,3 stars,2,18,1 dependent,"$25,240","$1,600",Yes
Capitol Desk,Preparer,Mixed,2023 TY,"$41,810",Standard,"$19,000","$15,200",Single,2-page,5.50%,Simple,On time,Yes,Yes,10970.85,5 stars,3,8,0 dependents,"$13,850",$0,Yes
Highland Desk,Online,Wages,2021 TY,"$48,040",Standard,"$1,570","$2,610",Head of Household,2-page,4.75%,Simple,On time,Yes,No,3719.93,5 stars,9,5,2 dependents,"$20,800",$0,Yes
River Desk,Walk-in,Self-employed,2021 TY,"$10,790",Itemized,"$57,550","$3,600",Married Joint,8-page,4.75%,Schedule-heavy,On time,No,Yes,0.0,4 stars,7,12,3 dependents,"$61,760","$4,800",Yes
Delta Desk,Preparer,Wages,2020 TY,"$12,820",Standard,$420,$700,Single,2-page,0.00%,Simple,2-year amend,Yes,No,0.0,4 stars,3,1,3 dependents,"$13,850","$4,800",No
North Desk,Preparer,Contract,2021 TY,"$16,000",Itemized,"$27,430","$2,290",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,11,10,0 dependents,"$58,920",$0,Yes
North Desk,Preparer,Contract,2021 TY,"$33,090",Itemized,"$56,720","$4,730",Married Joint,2-page,5.50%,Simple,On time,No,No,9349.24,4 stars,9,10,0 dependents,"$44,690",$0,Yes
North Desk,Preparer,Wages,2022 TY,"$43,150",Standard,"$1,410","$2,350",Married Joint,16-page,5.50%,Audit-ready,On time,Yes,No,1524.07,4 stars,9,10,0 dependents,"$27,700",$0,Yes
River Desk,Online,Wages,2020 TY,"$38,740",Standard,"$1,260","$2,110",Head of Household,2-page,4.75%,Simple,On time,Yes,No,2356.99,5 stars,10,4,0 dependents,"$20,800",$400,Yes
Central Desk,Walk-in,Mixed,2020 TY,"$64,510",Standard,"$29,320","$23,460",Head of Household,2-page,4.75%,Simple,On time,Yes,No,19490.5,5 stars,8,13,0 dependents,"$20,800",$0,Yes
Capitol Desk,Online,Self-employed,2022 TY,"$17,890",Standard,"$95,400","$5,960",Married Joint,16-page,5.50%,Audit-ready,2-year amend,Yes,No,17922.2,3 stars,16,18,1 dependent,"$27,700","$1,600",Yes
River Desk,Preparer,Mixed,2020 TY,"$51,430",Standard,"$23,380","$18,700",Single,2-page,4.75%,Simple,2-year amend,No,No,13981.14,3 stars,6,10,0 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Wages,2023 TY,"$46,990",Standard,"$1,530","$2,550",Married Joint,8-page,7.00%,Schedule-heavy,2-year amend,Yes,Yes,3588.13,4 stars,13,10,3 dependents,"$27,700",$0,Yes
Prairie Desk,Preparer,Wages,Not Available,"$51,750",Itemized,"$1,690","$2,810",Married Joint,2-page,5.50%,Simple,On time,Yes,No,238.76,5 stars,1,6,0 dependents,"$52,810",$0,Yes
Capitol Desk,Preparer,Royalty,2022 TY,"$4,820",Standard,"$9,650","$33,760",Married Joint,2-page,0.00%,Simple,No filing yet,Yes,No,216.44,4 stars,4,5,0 dependents,"$27,700",$200,No
Harbor Desk,Online,Mixed,2023 TY,"$26,490",Itemized,"$12,040","$9,630",Married Joint,2-page,0.00%,Simple,On time,No,No,0.0,4 stars,10,5,2 dependents,"$49,980",$0,No
Central Desk,Online,Pension,2020 TY,"$26,600",Standard,$0,"$4,690",Married Joint,2-page,5.50%,Simple,On time,No,No,0.0,4 stars,1,3,2 dependents,"$27,700","$3,200",Yes
Central Desk,Preparer,Mixed,2019 TY,"$32,700",Standard,"$14,860","$11,890",Single,8-page,4.75%,Schedule-heavy,On time,Yes,No,6493.56,5 stars,6,11,0 dependents,"$13,850",$0,Yes
North Desk,Online,Contract,2023 TY,"$13,310",Standard,"$22,820","$1,900",Single,2-page,6.20%,Simple,On time,Yes,No,3486.04,5 stars,4,4,1 dependent,"$13,850","$1,600",Yes
North Desk,Online,Wages,2023 TY,"$22,510",Standard,$730,"$1,220",Single,2-page,0.00%,Simple,On time,Yes,No,644.95,5 stars,1,2,0 dependents,"$13,850",$0,No
Delta Desk,Walk-in,Wages,2023 TY,"$61,880",Standard,"$2,020","$3,360",Single,2-page,0.00%,Simple,2-year amend,Yes,No,6654.21,4 stars,7,7,0 dependents,"$13,850",$0,No
Central Desk,Online,Contract,2019 TY,"$25,750",Standard,"$44,140","$3,680",Single,2-page,4.75%,Simple,No filing yet,Yes,No,10722.01,4 stars,8,8,1 dependent,"$13,850",$0,Yes
Central Desk,Online,Contract,2023 TY,"$40,120",Standard,"$68,770","$5,730",Married Separate,2-page,5.50%,Simple,On time,Yes,No,23856.47,5 stars,7,12,0 dependents,"$13,850",$0,Yes
Capitol Desk,Online,Wages,2021 TY,"$42,280",Standard,"$1,380","$2,300",Married Joint,16-page,7.00%,Audit-ready,On time,Yes,No,0.0,4 stars,8,10,1 dependent,"$27,700","$1,600",Yes
Highland Desk,Preparer,Wages,2021 TY,"$63,580",Standard,"$2,070","$3,460",Single,2-page,6.20%,Simple,On time,Yes,No,10660.06,5 stars,1,7,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Mixed,2020 TY,"$48,060",Itemized,"$21,850","$17,480",Married Joint,2-page,4.75%,Simple,On time,Yes,No,931.82,5 stars,3,9,1 dependent,"$61,240","$1,600",Yes
Capitol Desk,Preparer,Wages,Not Available,"$51,440",Standard,"$1,680","$2,800",Married Separate,2-page,6.20%,Simple,On time,Yes,No,5486.66,5 stars,1,6,2 dependents,"$13,850",$0,Yes
Central Desk,Online,Wages,2019 TY,"$73,470",Standard,"$2,400","$3,990",Single,2-page,0.00%,Simple,On time,Yes,No,9196.62,5 stars,0,8,0 dependents,"$13,850",$0,No
Central Desk,Online,Contract,2023 TY,"$31,050",Standard,"$53,220","$4,440",Head of Household,2-page,5.50%,Simple,On time,Yes,No,13950.81,5 stars,4,9,0 dependents,"$20,800",$0,Yes
Delta Desk,Online,Wages,2023 TY,"$64,270",Itemized,"$2,100","$3,490",Head of Household,8-page,7.00%,Schedule-heavy,No filing yet,Yes,No,7570.48,4 stars,7,12,1 dependent,"$24,350",$0,Yes
Capitol Desk,Online,Self-employed,2023 TY,"$9,270",Standard,"$49,440","$3,090",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,No,1543.87,4 stars,9,6,2 dependents,"$27,700","$3,200",Yes
Delta Desk,Preparer,Wages,2023 TY,"$49,150",Standard,"$1,600","$2,670",Married Joint,8-page,7.00%,Schedule-heavy,On time,No,No,3645.72,4 stars,0,10,1 dependent,"$27,700","$1,600",Yes
North Desk,Online,Wages,2023 TY,"$26,840",Standard,$880,"$1,460",Single,2-page,3.00%,Simple,No filing yet,Yes,Yes,0.0,4 stars,3,3,2 dependents,"$13,850","$3,600",Yes
Prairie Desk,Online,Self-employed,2020 TY,"$6,300",Itemized,"$33,590","$2,100",Head of Household,2-page,0.00%,Simple,On time,No,No,0.0,4 stars,5,4,0 dependents,"$44,650",$0,No
River Desk,Online,Wages,2019 TY,"$43,310",Standard,"$1,410","$2,350",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,2245.5,5 stars,4,10,0 dependents,"$27,700",$0,Yes
North Desk,Online,Self-employed,2022 TY,"$4,580",Standard,"$24,430","$1,530",Head of Household,8-page,7.00%,Schedule-heavy,On time,Yes,No,849.0,5 stars,9,8,1 dependent,"$20,800",$0,Yes
River Desk,Online,Wages,2021 TY,"$66,750",Standard,"$2,180","$3,630",Married Joint,16-page,3.00%,Audit-ready,On time,Yes,No,5191.14,4 stars,7,13,0 dependents,"$27,700",$800,Yes
River Desk,Online,Contract,2020 TY,"$35,180",Itemized,"$60,300","$5,030",Single,2-page,6.20%,Simple,On time,Yes,Yes,12224.75,5 stars,11,11,2 dependents,"$22,240","$3,600",Yes
