aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
A330-300,Airbus,2005,"43,215 hrs","19,136 cycles",Trent 700,"7,529 hrs","3,539 cycles",Fresh C-Check,MSG-3,On Lease,Africa,Yes,No,None,Excellent,277 seats,Not Reported,53,62.1,"4,466 kg/hr",35706000.0,34714000.0,33633000.0
E175,Embraer,2020,"13,232 hrs","6,404 cycles",CF34-8E,"8,585 hrs","3,672 cycles",Fresh C-Check,MSG-3,Owned,Latin America,No,No,None,Fair,76 seats,1 ADs,0,57.6,"1,370 kg/hr",25858000.0,23352000.0,22613000.0
787-9,BOEING,2013,"25,972 hrs","14,865 cycles",GEnx-1B,"1,523 hrs","1,053 cycles",D-Check Due,MSG-3,On Lease,Asia-Pacific,No,No,Minor,Excellent,296 seats,0 ADs,23,69.7,"3,429 kg/hr",77879000.0,64551000.0,62407000.0
E175,Embraer,2005,"53,915 hrs","37,619 cycles",CF34-8E,"3,496 hrs","1,832 cycles",C-Check Due,MSG-3,Off Lease,Middle East,Yes,Yes,None,Good,76 seats,0 ADs,25,43.8,"3,641 kg/hr",8072000.0,7767000.0,7701000.0
E175,embraer,2008,"36,798 hrs","22,415 cycles",CF34-8E,"6,548 hrs","4,330 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,No,None,Excellent,76 seats,0 ADs,16,85.4,"3,082 kg/hr",13264000.0,12450000.0,12678000.0
737 MAX 8,boeing,2005,"53,974 hrs","21,969 cycles",LEAP-1B,"8,918 hrs","4,374 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,No,No,None,Good,178 seats,2 ADs,4,58.8,"3,546 kg/hr",15652000.0,14487000.0,14319000.0
777-300ER,Boeing,2009,"50,725 hrs","27,216 cycles",GE90-115B,"1,576 hrs",667 cycles,D-Check Due,Hourly Inspection,On Lease,North America,No,No,None,Excellent,396 seats,1 ADs,14,44.1,"1,330 kg/hr",41113000.0,38137000.0,37824000.0
747-8F,Boeing,2012,"27,343 hrs","17,645 cycles",GEnx-2B,"3,535 hrs","2,447 cycles",Fresh C-Check,OEM Managed,On Lease,Europe,Yes,Yes,None,Good,Freighter (0 seats),1 ADs,40,63.6,"3,012 kg/hr",89111000.0,89966000.0,85136000.0
787-9,boeing,2021,"12,206 hrs","7,235 cycles",Trent 1000,"7,703 hrs","5,069 cycles",Fresh D-Check,MSG-3,On Lease,Europe,Yes,No,Major,Fair,296 seats,3 ADs,55,43.7,"2,158 kg/hr",96406000.0,89644000.0,95126000.0
A320-200,Airbus,2021,"9,949 hrs","8,076 cycles",CFM56-5B,"3,591 hrs","1,666 cycles",C-Check Due,OEM Managed,On Lease,Europe,No,No,None,Good,180 seats,0 ADs,30,64.7,"1,454 kg/hr",47093000.0,40958000.0,42903000.0
ATR 72-600,atr,2005,"51,843 hrs","24,698 cycles",PW127M,"4,935 hrs","2,383 cycles",D-Check Due,MSG-3,Off Lease,North America,Yes,No,None,Good,70 seats,1 ADs,25,93.3,"2,295 kg/hr",7654000.0,6123000.0,5703000.0
777-300ER,Boeing,2014,"36,102 hrs","20,010 cycles",GE90-115B,"5,128 hrs","2,928 cycles",Fresh D-Check,MSG-3,On Lease,Middle East,Yes,No,Minor,Poor,396 seats,2 ADs,37,70.0,915 kg/hr,80522000.0,58160000.0,59402000.0
737-800,Boeing,1998,"66,612 hrs","50,076 cycles",CFM56-7B,261 hrs,184 cycles,Fresh D-Check,OEM Managed,On Lease,Africa,No,No,None,Fair,189 seats,2 ADs,36,44.5,"1,234 kg/hr",9439000.0,8052000.0,9043000.0
777-300ER,boeing,2020,"10,140 hrs","9,098 cycles",GE90-115B,"3,243 hrs","1,533 cycles",C-Check Due,MSG-3,Off Lease,North America,No,Yes,None,Excellent,396 seats,1 ADs,23,73.4,"2,849 kg/hr",118282000.0,106696000.0,115567000.0
ATR 72-600,atr,2018,"17,041 hrs","8,687 cycles",PW127M,"8,966 hrs","4,462 cycles",C-Check Due,Hourly Inspection,On Lease,Latin America,Yes,Yes,None,Good,70 seats,0 ADs,26,60.4,"1,722 kg/hr",16351000.0,16855000.0,15806000.0
A350-900,AIRBUS,1999,"74,694 hrs","42,444 cycles",Trent XWB,"7,831 hrs","5,704 cycles",Fresh C-Check,OEM Managed,On Lease,North America,Yes,No,None,Good,325 seats,2 ADs,10,61.8,"3,111 kg/hr",32111000.0,29099000.0,28281000.0
CRJ900,bombardier,2010,"34,236 hrs","17,416 cycles",CF34-8C5,"8,525 hrs","4,619 cycles",Fresh D-Check,MSG-3,Off Lease,Europe,Yes,No,None,Good,76 seats,1 ADs,44,83.8,"1,693 kg/hr",10425000.0,12574000.0,11458000.0
CRJ900,Bombardier,2015,"33,263 hrs","14,006 cycles",CF34-8C5,"8,800 hrs","4,416 cycles",Fresh D-Check,Hourly Inspection,On Lease,Latin America,No,No,None,Good,76 seats,2 ADs,22,73.8,"2,944 kg/hr",17173000.0,16200000.0,14597000.0
A350-900,airbus,2017,"28,001 hrs","14,416 cycles",Trent XWB,"3,502 hrs","1,633 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,No,None,Good,325 seats,1 ADs,18,57.1,"3,890 kg/hr",111095000.0,100205000.0,90035000.0
737 MAX 8,BOEING,2005,"38,611 hrs","19,245 cycles",LEAP-1B,"4,150 hrs","1,740 cycles",Fresh D-Check,MSG-3,On Lease,Europe,Yes,Yes,None,Good,178 seats,1 ADs,8,10.6,"3,120 kg/hr",16693000.0,16613000.0,14559000.0
737-800,Boeing,2015,"34,598 hrs","22,130 cycles",CFM56-7B,"6,913 hrs","3,013 cycles",D-Check Due,OEM Managed,Owned,Asia-Pacific,No,No,Minor,Excellent,189 seats,1 ADs,27,63.2,900 kg/hr,19964000.0,19485000.0,18775000.0
747-8F,boeing,2009,"46,086 hrs","18,192 cycles",GEnx-2B,"8,350 hrs","4,829 cycles",Fresh C-Check,MSG-3,Owned,Europe,Yes,No,None,Good,Freighter (0 seats),1 ADs,7,40.1,"2,915 kg/hr",61063000.0,53781000.0,52473000.0
A320-200,AIRBUS,2011,"33,368 hrs","23,469 cycles",CFM56-5B,"6,499 hrs","3,702 cycles",Fresh D-Check,MSG-3,On Lease,Latin America,No,No,None,Fair,180 seats,2 ADs,13,60.5,"3,176 kg/hr",21524000.0,23256000.0,23171000.0
E175,Embraer,2016,"24,393 hrs","14,770 cycles",CF34-8E,"1,030 hrs",524 cycles,Fresh C-Check,Hourly Inspection,On Lease,Asia-Pacific,Yes,No,None,Good,76 seats,1 ADs,15,78.6,"2,303 kg/hr",21151000.0,21721000.0,20644000.0
A330-300,airbus,1999,"79,406 hrs","46,413 cycles",PW4000,"4,548 hrs","2,408 cycles",D-Check Due,MSG-3,Off Lease,Asia-Pacific,Yes,Yes,Minor,Excellent,277 seats,1 ADs,10,43.9,"4,153 kg/hr",12726000.0,14996000.0,16247000.0
ATR 72-600,ATR,2004,"61,692 hrs","39,812 cycles",PW127M,"5,628 hrs","2,513 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,Yes,Major,Good,70 seats,1 ADs,31,82.3,"3,508 kg/hr",4735000.0,4699000.0,4734000.0
CRJ900,bombardier,2020,"12,127 hrs","6,944 cycles",CF34-8C5,"4,176 hrs","2,263 cycles",D-Check Due,MSG-3,Owned,Africa,Yes,Yes,None,Excellent,76 seats,1 ADs,46,68.3,"3,223 kg/hr",21714000.0,19147000.0,19457000.0
A320-200,Airbus,2010,"43,960 hrs","22,322 cycles",CFM56-5B,"7,927 hrs","3,564 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,180 seats,1 ADs,9,70.2,"1,269 kg/hr",15340000.0,17354000.0,17346000.0
737-800,Boeing,2016,"32,847 hrs","25,281 cycles",CFM56-7B,371 hrs,211 cycles,Fresh D-Check,OEM Managed,On Lease,Asia-Pacific,Yes,No,None,Good,189 seats,0 ADs,9,64.9,"2,011 kg/hr",36044000.0,31112000.0,30181000.0
CRJ900,bombardier,2008,"31,168 hrs","19,589 cycles",CF34-8C5,"8,596 hrs","5,229 cycles",D-Check Due,Hourly Inspection,On Lease,Africa,Yes,Yes,None,Excellent,76 seats,1 ADs,23,73.5,"1,556 kg/hr",12856000.0,10045000.0,9860000.0
A350-900,AIRBUS,2014,"33,918 hrs","20,031 cycles",Trent XWB,"6,749 hrs","3,749 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,No,None,Poor,325 seats,1 ADs,8,57.7,"2,534 kg/hr",70234000.0,64279000.0,66161000.0
A350-900,AIRBUS,2003,"63,370 hrs","40,875 cycles",Trent XWB,530 hrs,296 cycles,C-Check Due,OEM Managed,Owned,North America,Yes,No,None,Good,325 seats,Not Reported,17,51.2,"3,735 kg/hr",34264000.0,32187000.0,28919000.0
A320neo,Airbus,2002,"73,666 hrs","32,064 cycles",LEAP-1A,"3,431 hrs","2,271 cycles",C-Check Due,MSG-3,Off Lease,Middle East,Yes,Yes,None,Fair,180 seats,2 ADs,23,59.5,"3,989 kg/hr",11939000.0,10864000.0,10142000.0
A330-300,AIRBUS,2022,"10,046 hrs","3,365 cycles",PW4000,"2,943 hrs","1,658 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,No,No,None,Good,277 seats,0 ADs,35,93.0,"1,799 kg/hr",89399000.0,95786000.0,92781000.0
ATR 72-600,atr,2015,"26,394 hrs","19,873 cycles",PW127M,"6,468 hrs","2,960 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,70 seats,1 ADs,14,68.6,"4,248 kg/hr",12828000.0,13517000.0,13642000.0
787-9,boeing,2013,"20,710 hrs","12,187 cycles",Trent 1000,"5,948 hrs","3,563 cycles",Fresh D-Check,MSG-3,Owned,North America,Yes,Yes,None,Excellent,296 seats,0 ADs,43,96.1,"2,191 kg/hr",106840000.0,100988000.0,91027000.0
777-300ER,boeing,2022,"6,990 hrs","5,621 cycles",GE90-115B,"5,707 hrs","3,530 cycles",Fresh C-Check,MSG-3,On Lease,Africa,No,Yes,None,Good,396 seats,2 ADs,2,75.7,"2,362 kg/hr",110467000.0,121408000.0,128257000.0
A350-900,AIRBUS,2000,"66,665 hrs","37,823 cycles",Trent XWB,806 hrs,365 cycles,D-Check Due,MSG-3,Owned,Europe,No,No,Minor,Excellent,325 seats,1 ADs,42,100.0,"1,483 kg/hr",27612000.0,26086000.0,27232000.0
A320neo,airbus,2015,"26,321 hrs","19,346 cycles",PW1100G,"5,127 hrs","2,444 cycles",C-Check Due,Hourly Inspection,On Lease,Asia-Pacific,Yes,Yes,None,Excellent,180 seats,3 ADs,54,54.5,"4,596 kg/hr",33049000.0,31965000.0,30941000.0
A350-900,AIRBUS,2001,"78,528 hrs","37,552 cycles",Trent XWB,"6,807 hrs","3,351 cycles",C-Check Due,Hourly Inspection,Off Lease,Middle East,No,Yes,None,Excellent,325 seats,2 ADs,16,70.1,"3,329 kg/hr",23509000.0,29422000.0,29001000.0
A350-900,Airbus,2012,"47,620 hrs","21,847 cycles",Trent XWB,"2,358 hrs","1,317 cycles",D-Check Due,Hourly Inspection,On Lease,Middle East,No,No,None,Excellent,325 seats,1 ADs,21,56.6,"1,500 kg/hr",49811000.0,49631000.0,55892000.0
737-800,Boeing,2020,"13,361 hrs","8,284 cycles",CFM56-7B,"2,131 hrs","1,308 cycles",D-Check Due,MSG-3,Owned,North America,Yes,No,None,Good,189 seats,1 ADs,45,55.2,"2,309 kg/hr",31013000.0,31545000.0,30537000.0
787-9,BOEING,2012,"41,807 hrs","18,158 cycles",Trent 1000,"5,205 hrs","3,838 cycles",D-Check Due,MSG-3,Off Lease,North America,No,No,Major,Excellent,296 seats,1 ADs,32,55.8,"2,075 kg/hr",41712000.0,40156000.0,36810000.0
737-800,boeing,2020,"20,859 hrs","14,390 cycles",CFM56-7B,"2,435 hrs","1,609 cycles",Fresh D-Check,MSG-3,Owned,Asia-Pacific,Yes,Yes,None,Excellent,189 seats,1 ADs,23,94.9,"2,150 kg/hr",44366000.0,44856000.0,46302000.0
747-8F,Boeing,2010,"36,504 hrs","16,668 cycles",GEnx-2B,"4,381 hrs","2,432 cycles",C-Check Due,MSG-3,Off Lease,North America,Yes,No,None,Good,Freighter (0 seats),1 ADs,29,50.5,"3,751 kg/hr",80301000.0,58414000.0,62008000.0
ATR 72-600,atr,2017,"27,123 hrs","17,196 cycles",PW127M,"5,063 hrs","2,435 cycles",C-Check Due,MSG-3,Owned,Middle East,No,No,None,Fair,70 seats,1 ADs,21,38.2,"2,084 kg/hr",13612000.0,12631000.0,12702000.0
737-800,Boeing,2009,"42,963 hrs","18,931 cycles",CFM56-7B,"7,924 hrs","5,320 cycles",C-Check Due,OEM Managed,On Lease,Europe,Yes,Yes,Minor,Fair,189 seats,0 ADs,40,38.5,"3,018 kg/hr",16572000.0,14215000.0,13553000.0
747-8F,BOEING,2008,"53,904 hrs","23,408 cycles",GEnx-2B,"6,039 hrs","3,020 cycles",Fresh C-Check,OEM Managed,Off Lease,North America,No,Yes,None,Poor,Freighter (0 seats),0 ADs,24,88.7,"2,636 kg/hr",47237000.0,48803000.0,49647000.0
CRJ900,Bombardier,2007,"39,862 hrs","17,731 cycles",CF34-8C5,632 hrs,267 cycles,Fresh C-Check,MSG-3,On Lease,Africa,Yes,Yes,Minor,Fair,76 seats,0 ADs,53,52.9,"3,974 kg/hr",11398000.0,9634000.0,10050000.0
787-9,Boeing,2017,"18,526 hrs","9,640 cycles",Trent 1000,"3,803 hrs","1,769 cycles",Fresh C-Check,Hourly Inspection,On Lease,Middle East,Yes,No,None,Good,296 seats,Not Reported,29,66.0,"3,861 kg/hr",99394000.0,98043000.0,98881000.0
777-300ER,Boeing,2005,"48,871 hrs","26,566 cycles",GE90-115B,"7,499 hrs","3,337 cycles",D-Check Due,MSG-3,On Lease,Latin America,No,No,Major,Excellent,396 seats,2 ADs,4,48.4,"2,357 kg/hr",16952000.0,23237000.0,22607000.0
A320-200,AIRBUS,1998,"77,823 hrs","50,423 cycles",V2500,"7,873 hrs","3,732 cycles",Fresh D-Check,OEM Managed,Owned,Africa,Yes,Yes,Major,Good,180 seats,1 ADs,0,49.5,"1,528 kg/hr",7926000.0,7153000.0,6932000.0
CRJ900,bombardier,2003,"64,979 hrs","39,408 cycles",CF34-8C5,"8,923 hrs","4,238 cycles",Fresh D-Check,OEM Managed,On Lease,Latin America,Yes,No,Minor,Excellent,76 seats,0 ADs,38,49.7,"2,441 kg/hr",6420000.0,6307000.0,5901000.0
737-800,BOEING,2017,"23,722 hrs","16,674 cycles",CFM56-7B,"3,452 hrs","2,087 cycles",Fresh D-Check,MSG-3,On Lease,Asia-Pacific,No,No,None,Poor,189 seats,0 ADs,49,64.5,"1,295 kg/hr",34119000.0,30761000.0,31276000.0
ATR 72-600,atr,2015,"37,507 hrs","21,486 cycles",PW127M,"2,699 hrs","1,387 cycles",Fresh C-Check,MSG-3,On Lease,Europe,Yes,No,None,Excellent,70 seats,Not Reported,52,33.9,"2,967 kg/hr",13681000.0,12577000.0,12333000.0
787-9,boeing,2020,"18,122 hrs","9,166 cycles",Trent 1000,"5,899 hrs","3,535 cycles",Fresh C-Check,Hourly Inspection,Owned,Middle East,Yes,No,None,Good,296 seats,3 ADs,48,86.5,"2,033 kg/hr",118577000.0,108120000.0,115510000.0
A320neo,Airbus,2009,"35,695 hrs","17,260 cycles",LEAP-1A,"1,720 hrs",814 cycles,Fresh C-Check,Hourly Inspection,Off Lease,Asia-Pacific,No,No,None,Fair,180 seats,1 ADs,36,39.5,"4,272 kg/hr",19886000.0,20819000.0,21013000.0
A320-200,AIRBUS,2005,"45,121 hrs","20,354 cycles",V2500,"2,499 hrs","1,078 cycles",Fresh C-Check,OEM Managed,On Lease,Asia-Pacific,Yes,Yes,None,Poor,180 seats,4 ADs,53,78.9,"2,269 kg/hr",16070000.0,15494000.0,15543000.0
737 MAX 8,Boeing,2013,"30,656 hrs","14,603 cycles",LEAP-1B,"8,584 hrs","5,617 cycles",Fresh C-Check,MSG-3,On Lease,North America,Yes,Yes,None,Poor,178 seats,2 ADs,32,59.5,"2,125 kg/hr",26093000.0,25301000.0,25803000.0
ATR 72-600,atr,2018,"15,747 hrs","8,540 cycles",PW127M,"8,008 hrs","3,561 cycles",C-Check Due,OEM Managed,Owned,Africa,Yes,No,None,Excellent,70 seats,1 ADs,37,48.7,"1,432 kg/hr",15867000.0,16851000.0,15681000.0
E175,embraer,1999,"68,183 hrs","36,839 cycles",CF34-8E,506 hrs,254 cycles,C-Check Due,MSG-3,Owned,Europe,No,Yes,None,Good,76 seats,2 ADs,36,66.7,"2,297 kg/hr",6452000.0,5493000.0,5982000.0
747-8F,boeing,2008,"42,608 hrs","28,145 cycles",GEnx-2B,"1,037 hrs",735 cycles,Fresh C-Check,OEM Managed,Owned,Africa,No,No,None,Excellent,Freighter (0 seats),1 ADs,8,50.2,"2,867 kg/hr",58226000.0,56519000.0,52722000.0
E175,Embraer,2016,"23,834 hrs","11,119 cycles",CF34-8E,"8,824 hrs","5,987 cycles",Fresh D-Check,OEM Managed,Off Lease,North America,No,No,None,Fair,76 seats,1 ADs,15,50.1,"1,887 kg/hr",17841000.0,17917000.0,18568000.0
737 MAX 8,BOEING,2017,"22,314 hrs","12,499 cycles",LEAP-1B,"7,180 hrs","3,651 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Middle East,Yes,No,Minor,Excellent,178 seats,2 ADs,32,51.3,"4,154 kg/hr",40010000.0,33463000.0,34003000.0
737 MAX 8,Boeing,2005,"67,814 hrs","33,054 cycles",LEAP-1B,"6,784 hrs","3,097 cycles",Fresh C-Check,MSG-3,On Lease,North America,No,No,None,Good,178 seats,0 ADs,57,24.3,"3,988 kg/hr",12823000.0,11831000.0,12618000.0
A320-200,AIRBUS,2019,"17,933 hrs","8,877 cycles",CFM56-5B,"8,205 hrs","3,521 cycles",C-Check Due,MSG-3,Off Lease,North America,Yes,No,None,Fair,180 seats,0 ADs,46,79.0,"2,138 kg/hr",29232000.0,33327000.0,32967000.0
E175,Embraer,2009,"39,485 hrs","18,810 cycles",CF34-8E,"2,585 hrs","1,445 cycles",D-Check Due,MSG-3,On Lease,North America,Yes,No,None,Fair,76 seats,1 ADs,14,59.5,"2,384 kg/hr",9847000.0,9710000.0,9270000.0
E175,Embraer,2017,"13,503 hrs","7,335 cycles",CF34-8E,"8,941 hrs","3,891 cycles",Fresh C-Check,MSG-3,Off Lease,North America,Yes,No,Minor,Good,76 seats,1 ADs,36,61.9,"1,461 kg/hr",17455000.0,19109000.0,20017000.0
737-800,boeing,2007,"40,494 hrs","22,408 cycles",CFM56-7B,"5,748 hrs","2,556 cycles",Fresh C-Check,MSG-3,On Lease,Africa,No,No,None,Fair,189 seats,1 ADs,43,79.7,"2,334 kg/hr",20262000.0,16680000.0,18765000.0
CRJ900,Bombardier,2020,"13,312 hrs","6,454 cycles",CF34-8C5,"4,266 hrs","2,409 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,No,No,None,Excellent,76 seats,3 ADs,1,71.4,"1,321 kg/hr",23346000.0,24654000.0,20259000.0
A350-900,airbus,2017,"22,631 hrs","11,690 cycles",Trent XWB,"2,102 hrs","1,037 cycles",C-Check Due,OEM Managed,On Lease,Middle East,Yes,Yes,None,Good,325 seats,0 ADs,32,37.8,"2,701 kg/hr",85260000.0,92315000.0,94406000.0
777-300ER,boeing,2006,"63,848 hrs","48,009 cycles",GE90-115B,"4,342 hrs","2,095 cycles",D-Check Due,MSG-3,On Lease,Middle East,Yes,Yes,None,Good,396 seats,0 ADs,31,62.8,"1,178 kg/hr",27654000.0,29333000.0,31766000.0
ATR 72-600,atr,2001,"76,250 hrs","36,917 cycles",PW127M,"8,103 hrs","3,798 cycles",C-Check Due,OEM Managed,On Lease,Latin America,No,Yes,None,Poor,70 seats,1 ADs,34,86.4,"2,556 kg/hr",4757000.0,4603000.0,5087000.0
E175,embraer,2018,"17,304 hrs","7,242 cycles",CF34-8E,220 hrs,169 cycles,Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Good,76 seats,1 ADs,27,63.4,"1,903 kg/hr",31028000.0,24303000.0,22960000.0
787-9,BOEING,2022,"11,138 hrs","4,811 cycles",Trent 1000,"4,186 hrs","2,812 cycles",Fresh C-Check,OEM Managed,Owned,North America,Yes,No,None,Good,296 seats,0 ADs,32,37.2,"1,995 kg/hr",131328000.0,118873000.0,120238000.0
CRJ900,Bombardier,2004,"49,115 hrs","24,117 cycles",CF34-8C5,"3,778 hrs","1,687 cycles",Fresh C-Check,Hourly Inspection,Owned,Europe,Yes,No,None,Fair,76 seats,0 ADs,13,61.1,"1,729 kg/hr",8576000.0,7535000.0,7687000.0
737-800,Boeing,2006,"64,543 hrs","40,812 cycles",CFM56-7B,"6,639 hrs","3,360 cycles",Fresh C-Check,MSG-3,Owned,Middle East,No,No,None,Good,189 seats,2 ADs,41,75.7,"1,430 kg/hr",13249000.0,12220000.0,12522000.0
E175,embraer,2020,"17,795 hrs","6,586 cycles",CF34-8E,"2,554 hrs","1,485 cycles",C-Check Due,Hourly Inspection,On Lease,Asia-Pacific,No,Yes,None,Good,76 seats,1 ADs,13,74.4,"1,867 kg/hr",22846000.0,24805000.0,25271000.0
A320-200,Airbus,2007,"39,089 hrs","18,348 cycles",V2500,"7,800 hrs","4,090 cycles",D-Check Due,Hourly Inspection,On Lease,Europe,No,No,None,Good,180 seats,Not Reported,4,37.5,"3,001 kg/hr",11108000.0,13650000.0,12936000.0
737-800,BOEING,2016,"24,816 hrs","15,695 cycles",CFM56-7B,"3,366 hrs","1,997 cycles",Fresh C-Check,MSG-3,Off Lease,Africa,No,No,None,Fair,189 seats,1 ADs,27,48.8,"3,222 kg/hr",32968000.0,26436000.0,25313000.0
737-800,BOEING,2017,"25,666 hrs","12,665 cycles",CFM56-7B,"7,231 hrs","5,037 cycles",C-Check Due,MSG-3,Off Lease,Latin America,No,Yes,None,Excellent,189 seats,1 ADs,4,53.7,"2,144 kg/hr",31457000.0,27592000.0,28293000.0
CRJ900,bombardier,2000,"91,974 hrs","45,815 cycles",CF34-8C5,"5,393 hrs","2,349 cycles",C-Check Due,MSG-3,Off Lease,North America,No,No,None,Fair,76 seats,3 ADs,55,37.2,"1,295 kg/hr",3092000.0,4234000.0,3946000.0
E175,Embraer,2017,"19,586 hrs","13,755 cycles",CF34-8E,"4,653 hrs","2,375 cycles",D-Check Due,MSG-3,Owned,North America,Yes,No,None,Good,76 seats,1 ADs,8,40.7,"3,330 kg/hr",17351000.0,15583000.0,16265000.0
737 MAX 8,BOEING,2007,"68,074 hrs","31,953 cycles",LEAP-1B,"4,997 hrs","2,286 cycles",Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Good,178 seats,0 ADs,13,61.8,"1,996 kg/hr",17986000.0,14694000.0,14671000.0
A320-200,AIRBUS,2000,"69,223 hrs","41,329 cycles",CFM56-5B,"2,087 hrs","1,457 cycles",Fresh D-Check,Hourly Inspection,On Lease,Asia-Pacific,Yes,Yes,None,Good,180 seats,1 ADs,46,64.4,"3,101 kg/hr",10854000.0,10856000.0,11290000.0
E175,embraer,2003,"41,771 hrs","27,824 cycles",CF34-8E,"1,012 hrs",426 cycles,Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Good,76 seats,1 ADs,39,65.2,"1,174 kg/hr",11216000.0,9806000.0,9589000.0
777-300ER,boeing,2006,"58,093 hrs","38,682 cycles",GE90-115B,"3,548 hrs","1,590 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,Yes,None,Good,396 seats,2 ADs,28,67.1,"1,739 kg/hr",41166000.0,39190000.0,36335000.0
A330-300,Airbus,2014,"27,050 hrs","16,258 cycles",CF6-80E1,"8,733 hrs","5,808 cycles",D-Check Due,MSG-3,On Lease,Asia-Pacific,No,Yes,None,Good,277 seats,1 ADs,46,51.5,"3,837 kg/hr",42266000.0,44564000.0,44314000.0
A350-900,AIRBUS,2014,"30,303 hrs","22,585 cycles",Trent XWB,"2,875 hrs","1,210 cycles",C-Check Due,MSG-3,Owned,North America,Yes,No,None,Excellent,325 seats,1 ADs,19,85.8,"1,283 kg/hr",80600000.0,80258000.0,81084000.0
E175,embraer,2002,"65,493 hrs","48,289 cycles",CF34-8E,"3,138 hrs","2,065 cycles",C-Check Due,Hourly Inspection,Owned,North America,No,No,None,Good,76 seats,0 ADs,58,59.0,"2,914 kg/hr",5465000.0,6444000.0,5530000.0
ATR 72-600,ATR,2007,"53,838 hrs","23,327 cycles",PW127M,129 hrs,55 cycles,D-Check Due,Hourly Inspection,On Lease,North America,Yes,Yes,None,Fair,70 seats,1 ADs,53,64.4,"1,641 kg/hr",6793000.0,5955000.0,6439000.0
CRJ900,bombardier,2018,"26,446 hrs","16,796 cycles",CF34-8C5,"8,058 hrs","5,567 cycles",Fresh D-Check,MSG-3,Owned,Latin America,Yes,No,None,Good,76 seats,0 ADs,32,66.3,"3,202 kg/hr",19818000.0,19000000.0,19783000.0
777-300ER,Boeing,1998,"77,806 hrs","49,523 cycles",GE90-115B,843 hrs,379 cycles,D-Check Due,MSG-3,Owned,Middle East,Yes,No,Major,Fair,396 seats,1 ADs,53,34.9,"2,417 kg/hr",13543000.0,14150000.0,13450000.0
787-9,BOEING,2005,"54,739 hrs","33,017 cycles",Trent 1000,"2,066 hrs",943 cycles,Fresh C-Check,MSG-3,On Lease,Asia-Pacific,No,Yes,None,Good,296 seats,3 ADs,0,58.8,"1,950 kg/hr",41945000.0,39416000.0,35106000.0
CRJ900,Bombardier,2020,"16,692 hrs","9,757 cycles",CF34-8C5,"7,306 hrs","5,358 cycles",Fresh D-Check,Hourly Inspection,On Lease,North America,No,Yes,None,Excellent,76 seats,4 ADs,41,34.1,"3,328 kg/hr",20645000.0,20647000.0,21822000.0
A320-200,airbus,2010,"43,403 hrs","32,763 cycles",CFM56-5B,"5,096 hrs","2,495 cycles",Fresh D-Check,OEM Managed,Off Lease,Middle East,No,No,None,Excellent,180 seats,Not Reported,34,50.6,"4,138 kg/hr",18981000.0,18755000.0,20504000.0
A320neo,Airbus,2002,"71,457 hrs","42,627 cycles",LEAP-1A,"1,972 hrs",970 cycles,Fresh C-Check,MSG-3,Owned,Middle East,No,Yes,None,Fair,180 seats,3 ADs,48,73.8,"2,120 kg/hr",12225000.0,12948000.0,13340000.0
737 MAX 8,Boeing,2004,"60,252 hrs","34,248 cycles",LEAP-1B,"3,510 hrs","1,684 cycles",Fresh C-Check,MSG-3,Owned,Africa,Yes,No,None,Fair,178 seats,2 ADs,25,27.3,"2,290 kg/hr",12463000.0,11981000.0,10799000.0
A320neo,Airbus,1999,"59,948 hrs","38,677 cycles",PW1100G,"6,443 hrs","2,942 cycles",D-Check Due,MSG-3,Owned,Europe,No,No,None,Good,180 seats,1 ADs,55,30.3,"1,685 kg/hr",9150000.0,7558000.0,8639000.0
777-300ER,Boeing,2018,"25,769 hrs","12,018 cycles",GE90-115B,"4,214 hrs","2,241 cycles",Fresh C-Check,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,396 seats,1 ADs,17,63.8,"1,658 kg/hr",75200000.0,89154000.0,88206000.0
A330-300,Airbus,2009,"45,864 hrs","20,805 cycles",CF6-80E1,"8,583 hrs","5,625 cycles",C-Check Due,Hourly Inspection,Owned,Latin America,Yes,No,Minor,Good,277 seats,1 ADs,31,71.1,"1,235 kg/hr",28041000.0,33284000.0,33586000.0
