campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
Delta Campus,Hybrid,Biology,2023 CY,7.0 hours,Required,3.78 GPA,2.9 hours,Junior,12-week,85.5%,Lecture,On time,No,No,82.16,4 stars,9,5,0 partners,15 cr,7.2 hours,Yes,Small
Capitol Campus,Hybrid,History,2022 CY,11.0 hours,Required,3.82 GPA,2.4 hours,Junior,16-week,65.0%,Lecture,2-year retake,No,No,75.37,3 stars,14,2,1 partner,16 cr,5.7 hours,Yes,Large
Harbor Campus,In-person,History,2020 CY,6.5 hours,Required,2.74 GPA,1.8 hours,Senior,16-week,83.0%,Lab-heavy,2-year retake,Yes,No,69.01,2 stars,16,1,1 partner,16 cr,5.0 hours,Yes,Medium
Harbor Campus,Online,Physics,2019 CY,10.8 hours,Required,3.29 GPA,3.2 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,No,72.6,3 stars,10,0,0 partners,9 cr,7.1 hours,Yes,Medium
Harbor Campus,In-person,Chemistry,2023 CY,11.2 hours,Elective,3.65 GPA,4.2 hours,Graduate,16-week,100.0%,Lab-heavy,On time,No,Yes,74.52,3 stars,13,6,1 partner,13 cr,7.4 hours,Yes,Large
Capitol Campus,In-person,History,2021 CY,8.5 hours,Required,4.00 GPA,3.0 hours,Junior,16-week,91.7%,Lab-heavy,On time,No,No,96.78,5 stars,9,3,0 partners,9 cr,7.6 hours,No,Small
Delta Campus,Online,Civics,2023 CY,11.7 hours,Elective,2.82 GPA,3.5 hours,Junior,12-week,74.5%,Studio,On time,No,Yes,78.85,3 stars,11,4,3 partners,16 cr,7.4 hours,Yes,Small
Prairie Campus,In-person,Literature,2023 CY,5.1 hours,Elective,3.79 GPA,2.8 hours,Junior,16-week,73.4%,Lecture,2-year retake,No,Yes,68.32,2 stars,10,3,0 partners,12 cr,8.5 hours,No,Small
Hill Campus,Online,Biology,2023 CY,9.6 hours,Required,3.04 GPA,1.8 hours,Freshman,16-week,71.5%,Lecture,Late enroll,Yes,No,72.84,3 stars,11,4,1 partner,15 cr,7.9 hours,Yes,Small
Hill Campus,In-person,Stats,2021 CY,7.6 hours,Required,2.59 GPA,2.6 hours,Junior,16-week,100.0%,Lecture,On time,Yes,No,82.21,4 stars,14,3,1 partner,15 cr,9.7 hours,Yes,Medium
North Campus,Online,History,2023 CY,19.1 hours,Elective,3.10 GPA,8.8 hours,Sophomore,16-week,100.0%,Lecture,On time,No,Yes,97.81,5 stars,10,5,1 partner,15 cr,10.0 hours,Yes,Large
Delta Campus,In-person,Algebra,Not Available,11.0 hours,Required,3.15 GPA,2.9 hours,Sophomore,12-week,91.0%,Lab-heavy,On time,Yes,Yes,80.16,3 stars,13,4,3 partners,15 cr,4.9 hours,Yes,Medium
River Campus,In-person,Chemistry,2020 CY,7.2 hours,Required,2.67 GPA,2.1 hours,Junior,10-week,86.0%,Lecture,On time,No,No,59.66,2 stars,10,2,0 partners,15 cr,4.4 hours,Yes,Small
River Campus,In-person,Algebra,2021 CY,6.1 hours,Required,3.29 GPA,3.0 hours,Junior,10-week,98.5%,Lab-heavy,Late enroll,No,Yes,69.07,2 stars,15,6,2 partners,15 cr,6.8 hours,Yes,Medium
Capitol Campus,In-person,Biology,2021 CY,14.7 hours,Required,3.46 GPA,6.6 hours,Freshman,10-week,79.2%,Lecture,On time,No,Yes,83.86,4 stars,12,3,1 partner,12 cr,7.4 hours,No,Small
River Campus,Online,Physics,2022 CY,9.4 hours,Required,3.14 GPA,2.8 hours,Freshman,10-week,86.5%,Studio,On time,Yes,Yes,80.73,3 stars,13,9,1 partner,13 cr,6.7 hours,No,Medium
Delta Campus,In-person,Algebra,2023 CY,7.4 hours,Elective,2.79 GPA,3.2 hours,Freshman,16-week,93.6%,Studio,On time,No,Yes,69.61,2 stars,10,8,0 partners,15 cr,7.6 hours,Yes,Medium
Harbor Campus,In-person,Civics,2022 CY,11.6 hours,Required,2.96 GPA,5.7 hours,Freshman,16-week,74.4%,Lecture,3-year retake,Yes,Yes,72.5,3 stars,10,5,0 partners,13 cr,6.5 hours,Yes,Small
River Campus,In-person,Stats,2022 CY,10.6 hours,Elective,3.15 GPA,3.3 hours,Junior,16-week,82.6%,Studio,On time,Yes,No,68.61,2 stars,14,4,0 partners,16 cr,6.0 hours,Yes,Large
Grove Campus,In-person,Literature,2021 CY,11.1 hours,Required,3.13 GPA,4.2 hours,Freshman,16-week,81.9%,Lecture,On time,Yes,No,80.06,3 stars,8,6,0 partners,13 cr,6.2 hours,No,Large
Hill Campus,Hybrid,Physics,2020 CY,9.2 hours,Required,3.65 GPA,2.4 hours,Senior,16-week,100.0%,Lab-heavy,On time,Yes,No,68.59,2 stars,17,0,3 partners,16 cr,6.6 hours,Yes,Medium
Hill Campus,In-person,Physics,2021 CY,9.6 hours,Required,3.15 GPA,4.1 hours,Freshman,16-week,100.0%,Studio,On time,No,No,76.92,3 stars,8,3,2 partners,12 cr,7.7 hours,Yes,Medium
River Campus,Hybrid,Stats,2023 CY,9.8 hours,Required,2.40 GPA,1.7 hours,Freshman,12-week,87.1%,Lab-heavy,On time,No,No,75.3,3 stars,13,5,0 partners,16 cr,6.3 hours,Yes,Medium
River Campus,In-person,History,2022 CY,10.2 hours,Required,2.90 GPA,1.8 hours,Senior,10-week,86.3%,Lab-heavy,On time,Yes,No,84.6,4 stars,11,0,1 partner,12 cr,6.5 hours,Yes,Small
River Campus,Online,Biology,2021 CY,10.5 hours,Required,3.22 GPA,3.2 hours,Sophomore,10-week,80.0%,Lecture,On time,No,No,75.4,3 stars,14,1,1 partner,15 cr,7.4 hours,Yes,Small
River Campus,In-person,Chemistry,2023 CY,12.6 hours,Required,3.66 GPA,3.7 hours,Sophomore,16-week,89.0%,Lab-heavy,On time,Yes,No,86.55,4 stars,15,0,0 partners,13 cr,6.6 hours,Yes,Medium
Hill Campus,In-person,Chemistry,2019 CY,9.3 hours,Required,3.88 GPA,3.2 hours,Graduate,10-week,77.5%,Lab-heavy,Late enroll,No,No,81.89,3 stars,16,3,1 partner,15 cr,8.0 hours,Yes,Large
River Campus,Hybrid,Biology,2021 CY,5.9 hours,Elective,4.00 GPA,1.3 hours,Graduate,12-week,85.0%,Lecture,On time,No,No,71.14,3 stars,12,4,1 partner,12 cr,5.8 hours,Yes,Medium
Capitol Campus,Hybrid,Literature,2021 CY,8.6 hours,Required,3.21 GPA,1.9 hours,Senior,16-week,90.1%,Lecture,On time,Yes,No,75.55,3 stars,14,3,0 partners,16 cr,5.5 hours,Yes,Medium
North Campus,Hybrid,Algebra,Not Available,11.5 hours,Required,3.37 GPA,4.3 hours,Freshman,16-week,81.9%,Lab-heavy,On time,Yes,No,88.54,4 stars,14,0,1 partner,15 cr,7.1 hours,Yes,Medium
Harbor Campus,In-person,Stats,2023 CY,4.8 hours,Required,2.50 GPA,2.3 hours,Junior,16-week,81.1%,Lab-heavy,Late enroll,Yes,Yes,51.43,1 star,18,5,0 partners,18 cr,7.2 hours,No,Medium
Harbor Campus,In-person,Biology,2022 CY,3.4 hours,Required,3.49 GPA,1.3 hours,Graduate,16-week,81.1%,Lecture,Late enroll,Yes,No,65.29,2 stars,9,7,0 partners,15 cr,5.8 hours,Yes,Small
Prairie Campus,Online,Algebra,2019 CY,11.4 hours,Elective,2.82 GPA,3.9 hours,Graduate,16-week,76.8%,Studio,Late enroll,No,No,70.85,3 stars,12,0,1 partner,15 cr,8.3 hours,Yes,Medium
Delta Campus,In-person,Algebra,2020 CY,15.4 hours,Required,3.00 GPA,3.9 hours,Freshman,16-week,84.6%,Lab-heavy,On time,Yes,Yes,86.1,4 stars,17,7,1 partner,16 cr,8.9 hours,Yes,Large
Delta Campus,Online,Biology,2023 CY,5.1 hours,Required,4.00 GPA,1.9 hours,Sophomore,10-week,93.6%,Lecture,On time,Yes,No,76.05,3 stars,13,2,3 partners,12 cr,6.1 hours,Yes,Large
River Campus,Online,Biology,2021 CY,10.8 hours,Required,3.29 GPA,5.7 hours,Sophomore,16-week,68.3%,Lecture,On time,Yes,Yes,76.62,3 stars,11,0,0 partners,15 cr,8.4 hours,No,Large
Hill Campus,Online,Algebra,Not Available,9.2 hours,Required,2.64 GPA,4.8 hours,Freshman,16-week,100.0%,Lab-heavy,On time,No,Yes,73.02,3 stars,12,0,1 partner,13 cr,4.2 hours,Yes,Small
Hill Campus,Hybrid,Biology,2023 CY,8.3 hours,Required,3.33 GPA,1.3 hours,Junior,12-week,87.4%,Lab-heavy,On time,Yes,No,82.08,4 stars,16,0,3 partners,15 cr,8.0 hours,No,Medium
Hill Campus,Online,Biology,2022 CY,11.5 hours,Required,2.92 GPA,4.8 hours,Sophomore,16-week,92.1%,Lecture,On time,No,Yes,77.58,3 stars,6,5,1 partner,9 cr,5.9 hours,Yes,Medium
Capitol Campus,In-person,History,2023 CY,4.4 hours,Elective,2.72 GPA,1.9 hours,Sophomore,16-week,96.3%,Lecture,On time,No,No,68.81,2 stars,12,3,3 partners,13 cr,7.9 hours,Yes,Small
Harbor Campus,In-person,History,Not Available,5.0 hours,Elective,3.98 GPA,1.6 hours,Freshman,16-week,81.9%,Lab-heavy,On time,Yes,No,73.31,3 stars,16,4,3 partners,15 cr,5.7 hours,Yes,Small
River Campus,Online,History,2022 CY,8.1 hours,Required,3.63 GPA,1.9 hours,Junior,16-week,76.9%,Lab-heavy,On time,Yes,No,71.8,3 stars,15,0,2 partners,13 cr,6.7 hours,Yes,Large
Harbor Campus,In-person,History,2023 CY,8.0 hours,Elective,3.19 GPA,1.7 hours,Freshman,12-week,78.7%,Lab-heavy,On time,Yes,No,74.26,3 stars,12,5,3 partners,12 cr,5.9 hours,Yes,Medium
Prairie Campus,In-person,Algebra,2023 CY,5.5 hours,Required,2.97 GPA,2.0 hours,Sophomore,12-week,80.5%,Lecture,Late enroll,Yes,No,58.74,2 stars,8,5,1 partner,13 cr,6.6 hours,No,Medium
River Campus,In-person,Algebra,2021 CY,11.0 hours,Elective,2.89 GPA,4.2 hours,Freshman,12-week,96.0%,Lab-heavy,On time,No,No,83.28,4 stars,16,0,1 partner,16 cr,8.8 hours,No,Small
Delta Campus,Online,Biology,2023 CY,7.8 hours,Required,3.99 GPA,3.3 hours,Graduate,16-week,74.2%,Lecture,Late enroll,No,No,75.26,3 stars,10,5,2 partners,12 cr,6.7 hours,Yes,Medium
River Campus,Hybrid,Physics,2020 CY,7.8 hours,Required,3.17 GPA,3.3 hours,Freshman,16-week,92.1%,Lecture,On time,Yes,No,81.02,3 stars,10,0,2 partners,13 cr,9.1 hours,No,Small
Grove Campus,Online,Stats,2023 CY,10.0 hours,Required,1.76 GPA,2.5 hours,Junior,16-week,56.3%,Lab-heavy,Late enroll,Yes,No,44.81,1 star,15,3,0 partners,18 cr,6.4 hours,No,Small
River Campus,In-person,Stats,2023 CY,8.7 hours,Required,4.00 GPA,2.9 hours,Freshman,16-week,79.1%,Lab-heavy,Late enroll,Yes,No,72.19,3 stars,15,5,0 partners,16 cr,8.4 hours,Yes,Medium
Delta Campus,In-person,Chemistry,2022 CY,11.2 hours,Elective,3.11 GPA,2.0 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,No,77.78,3 stars,10,6,0 partners,9 cr,5.0 hours,Yes,Medium
Grove Campus,In-person,Chemistry,2022 CY,6.1 hours,Required,3.18 GPA,1.1 hours,Freshman,10-week,81.3%,Lab-heavy,3-year retake,No,No,63.51,2 stars,17,4,2 partners,15 cr,6.5 hours,Yes,Large
Grove Campus,In-person,History,2022 CY,6.0 hours,Required,3.52 GPA,2.2 hours,Freshman,10-week,80.7%,Lecture,On time,No,Yes,70.62,3 stars,8,3,0 partners,9 cr,6.2 hours,Yes,Medium
Delta Campus,Online,Physics,2020 CY,9.5 hours,Required,3.24 GPA,5.3 hours,Freshman,16-week,79.4%,Lecture,On time,No,Yes,75.7,3 stars,11,8,0 partners,18 cr,8.5 hours,Yes,Small
North Campus,Online,Physics,2021 CY,8.7 hours,Elective,3.49 GPA,1.7 hours,Junior,16-week,49.7%,Lecture,Late enroll,Yes,No,64.89,2 stars,8,1,1 partner,13 cr,7.0 hours,No,Small
Capitol Campus,In-person,Civics,2021 CY,5.9 hours,Elective,2.96 GPA,2.9 hours,Junior,10-week,78.9%,Lecture,On time,Yes,Yes,59.26,2 stars,9,3,0 partners,13 cr,4.5 hours,Yes,Medium
North Campus,In-person,Civics,2022 CY,4.7 hours,Required,2.48 GPA,1.3 hours,Freshman,16-week,99.6%,Lab-heavy,On time,Yes,No,74.61,3 stars,11,3,3 partners,12 cr,5.4 hours,Yes,Small
River Campus,In-person,Chemistry,2022 CY,9.7 hours,Required,3.28 GPA,2.4 hours,Sophomore,16-week,83.2%,Lab-heavy,On time,No,No,67.92,2 stars,16,0,1 partner,15 cr,5.7 hours,Yes,Small
Prairie Campus,Hybrid,Physics,2021 CY,6.7 hours,Required,3.79 GPA,2.1 hours,Junior,12-week,81.4%,Lab-heavy,On time,Yes,No,79.34,3 stars,14,0,0 partners,12 cr,7.8 hours,Yes,Medium
Prairie Campus,Online,Civics,2023 CY,5.3 hours,Elective,2.74 GPA,2.0 hours,Freshman,16-week,62.7%,Lecture,On time,No,Yes,53.09,1 star,14,4,0 partners,16 cr,7.7 hours,Yes,Small
Delta Campus,In-person,History,2021 CY,11.6 hours,Elective,2.82 GPA,3.1 hours,Sophomore,16-week,72.7%,Lecture,On time,Yes,No,74.73,3 stars,10,1,2 partners,15 cr,6.5 hours,Yes,Medium
Prairie Campus,Hybrid,Stats,2022 CY,7.1 hours,Required,3.58 GPA,2.1 hours,Freshman,16-week,97.9%,Lecture,On time,Yes,No,73.96,3 stars,13,5,1 partner,15 cr,6.2 hours,Yes,Medium
Harbor Campus,In-person,Algebra,2022 CY,13.6 hours,Elective,2.82 GPA,6.5 hours,Freshman,12-week,95.2%,Lab-heavy,On time,No,Yes,73.57,3 stars,14,4,1 partner,16 cr,7.6 hours,Yes,Small
Capitol Campus,In-person,Stats,2020 CY,9.2 hours,Required,2.97 GPA,3.3 hours,Sophomore,12-week,76.0%,Lecture,On time,Yes,No,69.48,2 stars,9,3,0 partners,12 cr,5.6 hours,Yes,Large
Hill Campus,Hybrid,Physics,2023 CY,9.4 hours,Elective,3.13 GPA,3.8 hours,Graduate,10-week,79.7%,Lecture,On time,Yes,No,60.4,2 stars,13,3,2 partners,12 cr,7.3 hours,Yes,Medium
River Campus,In-person,Algebra,2022 CY,8.4 hours,Required,3.27 GPA,2.2 hours,Graduate,16-week,88.7%,Lab-heavy,On time,Yes,No,73.46,3 stars,16,0,2 partners,13 cr,7.2 hours,Yes,Medium
Prairie Campus,In-person,Literature,2019 CY,1.0 hours,Required,2.59 GPA,0.2 hours,Graduate,16-week,77.0%,Lab-heavy,On time,No,No,58.88,2 stars,16,3,1 partner,16 cr,6.5 hours,Yes,Small
Harbor Campus,Online,Algebra,Not Available,6.9 hours,Required,2.91 GPA,3.1 hours,Sophomore,16-week,66.0%,Lecture,On time,Yes,Yes,62.25,2 stars,9,0,1 partner,9 cr,7.2 hours,Yes,Medium
Hill Campus,In-person,Physics,2023 CY,8.7 hours,Required,3.13 GPA,3.8 hours,Freshman,16-week,81.4%,Lecture,Late enroll,No,No,63.76,2 stars,14,2,3 partners,16 cr,6.9 hours,Yes,Medium
Harbor Campus,Online,Civics,2023 CY,9.7 hours,Elective,3.25 GPA,2.1 hours,Sophomore,10-week,85.7%,Lab-heavy,2-year retake,Yes,No,77.64,3 stars,16,5,1 partner,15 cr,7.3 hours,No,Medium
Harbor Campus,In-person,Literature,2023 CY,4.8 hours,Required,3.55 GPA,2.2 hours,Freshman,16-week,94.9%,Lecture,On time,Yes,Yes,73.39,3 stars,10,8,1 partner,15 cr,5.3 hours,Yes,Medium
Harbor Campus,In-person,Civics,2023 CY,8.3 hours,Elective,3.86 GPA,3.6 hours,Freshman,10-week,97.8%,Lecture,On time,Yes,No,85.31,4 stars,9,2,3 partners,15 cr,7.5 hours,No,Large
Harbor Campus,In-person,Algebra,2021 CY,4.9 hours,Elective,3.71 GPA,2.1 hours,Freshman,10-week,67.5%,Studio,Late enroll,Yes,No,77.37,3 stars,7,2,2 partners,9 cr,7.9 hours,No,Small
North Campus,In-person,Biology,2022 CY,9.9 hours,Required,3.56 GPA,1.9 hours,Sophomore,16-week,83.6%,Lecture,2-year retake,No,No,66.89,2 stars,10,5,1 partner,12 cr,7.2 hours,Yes,Large
Hill Campus,In-person,History,2022 CY,8.4 hours,Elective,3.08 GPA,3.2 hours,Sophomore,16-week,86.3%,Lecture,On time,No,No,71.68,3 stars,10,7,2 partners,15 cr,7.5 hours,Yes,Large
Grove Campus,In-person,Algebra,2021 CY,11.5 hours,Required,2.75 GPA,3.2 hours,Freshman,16-week,88.1%,Lecture,On time,No,No,76.46,3 stars,11,2,1 partner,13 cr,6.7 hours,Yes,Medium
Grove Campus,Hybrid,Chemistry,2021 CY,12.5 hours,Required,3.16 GPA,3.7 hours,Senior,16-week,83.9%,Lecture,On time,No,No,68.34,2 stars,9,6,1 partner,15 cr,7.8 hours,No,Medium
Prairie Campus,In-person,Biology,2020 CY,12.0 hours,Required,3.41 GPA,4.8 hours,Sophomore,12-week,82.4%,Lecture,On time,No,Yes,88.19,4 stars,14,2,0 partners,18 cr,6.9 hours,Yes,Medium
Harbor Campus,In-person,History,2023 CY,13.3 hours,Required,3.52 GPA,7.1 hours,Senior,10-week,52.8%,Lecture,2-year retake,Yes,Yes,78.74,3 stars,10,5,1 partner,9 cr,5.5 hours,Yes,Large
Prairie Campus,In-person,History,2023 CY,7.4 hours,Elective,3.43 GPA,1.5 hours,Sophomore,10-week,100.0%,Lecture,On time,No,No,79.71,3 stars,8,1,0 partners,13 cr,7.7 hours,Yes,Medium
Delta Campus,In-person,Civics,2023 CY,18.1 hours,Required,3.10 GPA,6.9 hours,Junior,16-week,92.3%,Lecture,On time,Yes,No,92.26,4 stars,9,2,0 partners,13 cr,5.0 hours,Yes,Medium
Capitol Campus,In-person,Biology,2021 CY,5.2 hours,Required,3.38 GPA,0.8 hours,Freshman,16-week,74.2%,Studio,On time,No,No,67.22,2 stars,11,7,3 partners,12 cr,7.1 hours,Yes,Small
Delta Campus,Online,Civics,2021 CY,8.8 hours,Required,3.72 GPA,4.2 hours,Junior,10-week,84.7%,Studio,Late enroll,Yes,Yes,74.8,3 stars,11,4,0 partners,18 cr,6.4 hours,Yes,Large
Prairie Campus,In-person,History,2022 CY,12.0 hours,Required,3.43 GPA,4.1 hours,Freshman,16-week,84.5%,Lecture,On time,No,No,81.36,3 stars,14,0,2 partners,18 cr,6.3 hours,Yes,Small
Capitol Campus,Hybrid,History,2022 CY,12.3 hours,Elective,3.02 GPA,5.8 hours,Freshman,16-week,75.8%,Lecture,Late enroll,Yes,Yes,82.97,4 stars,12,7,0 partners,13 cr,7.0 hours,No,Small
Hill Campus,Hybrid,Chemistry,2023 CY,12.1 hours,Required,2.77 GPA,6.4 hours,Junior,16-week,78.3%,Lab-heavy,On time,Yes,Yes,67.3,2 stars,16,1,0 partners,18 cr,6.0 hours,Yes,Small
North Campus,In-person,History,2023 CY,12.1 hours,Elective,2.76 GPA,5.8 hours,Sophomore,16-week,94.4%,Studio,On time,Yes,Yes,74.39,3 stars,6,1,0 partners,9 cr,7.4 hours,Yes,Medium
Hill Campus,In-person,Biology,2023 CY,2.4 hours,Required,2.72 GPA,0.9 hours,Freshman,12-week,81.0%,Studio,On time,Yes,No,63.13,2 stars,14,6,1 partner,18 cr,6.9 hours,Yes,Large
North Campus,In-person,Chemistry,2023 CY,13.6 hours,Elective,3.42 GPA,3.1 hours,Graduate,16-week,78.0%,Lecture,On time,Yes,No,72.19,3 stars,15,2,1 partner,16 cr,6.1 hours,No,Large
Delta Campus,Online,Algebra,Not Available,9.8 hours,Required,3.26 GPA,5.6 hours,Freshman,16-week,91.3%,Lecture,3-year retake,Yes,Yes,81.27,3 stars,9,1,0 partners,12 cr,8.3 hours,Yes,Small
River Campus,In-person,History,2022 CY,14.5 hours,Required,2.51 GPA,5.4 hours,Junior,12-week,87.2%,Lecture,On time,Yes,Yes,80.09,3 stars,14,7,1 partner,15 cr,7.0 hours,No,Medium
Capitol Campus,Hybrid,Literature,2019 CY,2.6 hours,Required,2.92 GPA,0.7 hours,Junior,10-week,84.5%,Lab-heavy,On time,Yes,No,60.28,2 stars,18,2,1 partner,16 cr,7.5 hours,Yes,Large
River Campus,Online,History,2020 CY,9.9 hours,Required,3.26 GPA,3.0 hours,Sophomore,16-week,92.9%,Lab-heavy,On time,Yes,No,84.19,4 stars,12,5,0 partners,13 cr,8.4 hours,No,Medium
North Campus,Online,Civics,2022 CY,6.7 hours,Elective,2.75 GPA,1.8 hours,Sophomore,16-week,79.3%,Lecture,On time,No,No,63.32,2 stars,11,2,0 partners,13 cr,8.3 hours,Yes,Small
River Campus,In-person,Biology,2021 CY,12.3 hours,Required,3.23 GPA,5.2 hours,Freshman,12-week,84.3%,Lecture,On time,Yes,Yes,78.67,3 stars,9,5,0 partners,15 cr,7.4 hours,Yes,Medium
Grove Campus,Hybrid,Stats,2020 CY,10.1 hours,Required,3.01 GPA,2.6 hours,Senior,16-week,83.1%,Lecture,Late enroll,Yes,No,66.56,2 stars,11,5,0 partners,12 cr,6.5 hours,Yes,Medium
River Campus,In-person,Physics,Not Available,9.7 hours,Elective,2.70 GPA,2.2 hours,Freshman,16-week,73.6%,Lab-heavy,On time,Yes,No,56.43,1 star,16,6,0 partners,12 cr,5.2 hours,No,Large
Grove Campus,In-person,Stats,2020 CY,5.7 hours,Required,3.05 GPA,2.4 hours,Freshman,10-week,91.2%,Lecture,On time,Yes,No,64.05,2 stars,13,3,1 partner,12 cr,7.0 hours,No,Medium
Delta Campus,In-person,Civics,Not Available,10.3 hours,Required,3.33 GPA,5.6 hours,Sophomore,12-week,81.4%,Lab-heavy,On time,Yes,Yes,82.24,4 stars,13,5,1 partner,15 cr,8.0 hours,Yes,Small
Capitol Campus,Hybrid,Algebra,2023 CY,7.9 hours,Elective,2.92 GPA,2.4 hours,Graduate,16-week,94.6%,Lab-heavy,On time,Yes,No,81.63,3 stars,14,6,2 partners,13 cr,7.2 hours,Yes,Medium
Delta Campus,Online,Chemistry,2023 CY,10.7 hours,Required,3.04 GPA,4.7 hours,Senior,16-week,91.5%,Lab-heavy,On time,Yes,No,75.32,3 stars,12,6,2 partners,15 cr,3.5 hours,Yes,Small
Delta Campus,Online,Biology,2023 CY,13.1 hours,Elective,3.51 GPA,4.8 hours,Graduate,12-week,90.1%,Lecture,On time,Yes,Yes,83.59,4 stars,9,5,1 partner,12 cr,7.8 hours,Yes,Large
Grove Campus,In-person,Civics,2021 CY,11.0 hours,Required,2.81 GPA,4.1 hours,Junior,16-week,72.9%,Lab-heavy,On time,Yes,Yes,80.33,3 stars,16,4,0 partners,12 cr,7.8 hours,Yes,Medium
Hill Campus,Hybrid,Literature,2023 CY,4.4 hours,Elective,2.40 GPA,1.9 hours,Junior,16-week,85.0%,Lab-heavy,On time,Yes,No,49.79,1 star,15,4,0 partners,15 cr,6.5 hours,Yes,Small
Capitol Campus,In-person,Biology,2020 CY,9.4 hours,Required,2.46 GPA,3.2 hours,Junior,16-week,71.2%,Lecture,Late enroll,Yes,No,69.98,2 stars,10,7,1 partner,12 cr,7.9 hours,Yes,Medium
River Campus,In-person,Stats,Not Available,16.9 hours,Elective,3.11 GPA,6.4 hours,Graduate,12-week,82.6%,Lecture,Late enroll,No,No,89.47,4 stars,14,1,0 partners,15 cr,7.5 hours,Yes,Small
Capitol Campus,Hybrid,Algebra,2021 CY,14.4 hours,Required,2.56 GPA,3.9 hours,Junior,10-week,62.8%,Lab-heavy,On time,Yes,No,81.11,3 stars,15,5,0 partners,13 cr,6.0 hours,No,Small
Hill Campus,In-person,Literature,2021 CY,1.0 hours,Elective,2.99 GPA,0.3 hours,Sophomore,10-week,73.6%,Lecture,On time,No,No,65.72,2 stars,9,6,3 partners,15 cr,8.2 hours,Yes,Medium
Capitol Campus,In-person,Physics,2023 CY,10.7 hours,Required,3.90 GPA,3.1 hours,Junior,16-week,100.0%,Lecture,On time,Yes,Yes,84.28,4 stars,8,3,0 partners,13 cr,5.4 hours,Yes,Large
Capitol Campus,Online,Algebra,2023 CY,11.5 hours,Elective,2.53 GPA,5.1 hours,Junior,16-week,89.7%,Lecture,On time,Yes,No,75.98,3 stars,13,6,0 partners,16 cr,6.7 hours,Yes,Large
Prairie Campus,In-person,Literature,2022 CY,9.9 hours,Required,2.90 GPA,3.4 hours,Freshman,16-week,85.5%,Lecture,On time,Yes,Yes,75.53,3 stars,11,4,3 partners,9 cr,6.6 hours,Yes,Medium
Prairie Campus,In-person,Civics,2023 CY,7.6 hours,Required,4.00 GPA,2.3 hours,Sophomore,10-week,79.9%,Lecture,On time,Yes,No,75.09,3 stars,10,6,0 partners,16 cr,5.9 hours,Yes,Small
North Campus,In-person,Algebra,2020 CY,9.0 hours,Elective,3.33 GPA,2.9 hours,Sophomore,16-week,72.2%,Lab-heavy,Late enroll,Yes,Yes,71.52,3 stars,14,7,0 partners,12 cr,7.1 hours,Yes,Medium
Delta Campus,In-person,Chemistry,2023 CY,10.9 hours,Required,2.98 GPA,3.8 hours,Senior,16-week,91.0%,Lecture,On time,No,No,79.33,3 stars,10,0,0 partners,9 cr,8.2 hours,Yes,Medium
Prairie Campus,Hybrid,Biology,2021 CY,5.4 hours,Required,3.08 GPA,1.4 hours,Sophomore,16-week,82.6%,Lab-heavy,On time,No,No,59.47,2 stars,17,6,0 partners,15 cr,8.2 hours,Yes,Small
Capitol Campus,Online,Literature,2021 CY,13.7 hours,Elective,3.34 GPA,6.4 hours,Senior,12-week,100.0%,Lecture,On time,Yes,Yes,87.86,4 stars,11,6,3 partners,12 cr,7.6 hours,Yes,Large
Grove Campus,In-person,Algebra,2020 CY,10.3 hours,Required,3.91 GPA,4.4 hours,Sophomore,16-week,87.2%,Lecture,On time,Yes,Yes,85.52,4 stars,13,3,1 partner,13 cr,4.9 hours,Yes,Large
River Campus,In-person,Stats,2021 CY,6.1 hours,Required,2.91 GPA,1.2 hours,Senior,10-week,89.6%,Lecture,On time,No,No,67.46,2 stars,15,5,1 partner,16 cr,5.3 hours,Yes,Small
River Campus,In-person,Civics,2021 CY,14.1 hours,Required,2.69 GPA,3.4 hours,Freshman,10-week,75.1%,Lab-heavy,On time,Yes,Yes,72.75,3 stars,18,6,0 partners,16 cr,7.0 hours,Yes,Large
River Campus,Online,Biology,2022 CY,5.6 hours,Required,2.68 GPA,2.4 hours,Graduate,16-week,82.4%,Studio,On time,Yes,Yes,64.84,2 stars,13,9,0 partners,15 cr,6.8 hours,Yes,Medium
Capitol Campus,Hybrid,History,2020 CY,8.7 hours,Required,3.20 GPA,4.4 hours,Junior,10-week,81.8%,Lecture,2-year retake,No,Yes,82.26,4 stars,16,3,1 partner,18 cr,6.3 hours,Yes,Small
Harbor Campus,Hybrid,Literature,2020 CY,7.3 hours,Required,2.52 GPA,2.9 hours,Sophomore,10-week,76.3%,Lecture,Late enroll,Yes,No,69.13,2 stars,8,2,0 partners,13 cr,8.9 hours,Yes,Medium
North Campus,In-person,Physics,2022 CY,16.0 hours,Required,2.94 GPA,4.0 hours,Sophomore,16-week,84.1%,Lecture,On time,Yes,No,78.74,3 stars,6,0,0 partners,9 cr,6.9 hours,Yes,Small
North Campus,In-person,Chemistry,2020 CY,8.3 hours,Required,2.74 GPA,3.8 hours,Sophomore,12-week,86.3%,Lecture,3-year retake,Yes,Yes,68.89,2 stars,13,7,1 partner,16 cr,7.4 hours,No,Small
