branch,channel,product_class,orig_vintage,annual_income_usd,purpose,other_debt_usd,requested_usd,employment_status,term_months,note_rate,complexity,file_timing,digital_app,existing_customer,offer_amount,bureau_stars,Number of Inquiries,Number of Trades,borrowers,down_payment_usd,reserves_usd,state_resident,collateral
River Branch,Branch,Mortgage,2023 VY,"$59,800",Refinance,"$6,880","$337,200",Public,360-month,5.62%,Full-doc,On time,No,Yes,317560.39,3 stars,6,12,1 borrower,"$62,030","$5,990",Yes,Real-estate
Highland Branch,Branch,Auto,2021 VY,"$56,700",Purchase,"$4,300","$29,900",Self-employed,60-month,6.09%,Simple,On time,No,No,29171.6,3 stars,3,8,1 borrower,"$7,620","$11,580",No,Real-estate
North Branch,Online,HELOC,2023 VY,"$91,300",Refinance,"$12,040","$52,800",Self-employed,180-month,4.45%,Schedule-heavy,On time,No,Yes,52745.61,4 stars,3,16,1 borrower,"$3,780","$13,560",Yes,Real-estate
Prairie Branch,Branch,Mortgage,2023 VY,"$99,900",Refinance,"$15,450","$323,200",Employed,360-month,11.65%,Full-doc,2-year prior,No,Yes,185522.77,2 stars,3,18,2 borrowers,"$41,330","$7,400",Yes,Unsecured
Capitol Branch,Online,Personal,2023 VY,"$68,900",Purchase,"$3,320","$14,900",Employed,36-month,6.31%,Simple,Late docs,Yes,No,14040.79,4 stars,7,9,1 borrower,$0,"$2,220",Yes,Auto
Capitol Branch,Online,Card,2021 VY,"$69,800",Purchase,"$20,600","$13,400",Employed,24-month,16.90%,Simple,On time,Yes,No,10111.41,3 stars,3,9,1 borrower,$0,"$11,290",Yes,Unsecured
Delta Branch,Online,Auto,2023 VY,"$61,900",Refinance,"$11,740","$30,500",Employed,30-month,8.45%,Simple,On time,No,Yes,25389.8,3 stars,0,14,3 borrowers,"$7,480","$5,480",Yes,Unsecured
North Branch,Branch,Personal,Not Available,"$44,000",Purchase,"$7,820","$10,900",Employed,36-month,10.27%,Simple,On time,Yes,Yes,8045.71,2 stars,1,10,1 borrower,$0,"$7,920",Yes,Auto
Harbor Branch,Branch,Mortgage,2020 VY,"$95,400",Purchase,"$15,240","$435,800",Self-employed,360-month,6.73%,Full-doc,On time,No,No,339166.79,2 stars,5,14,3 borrowers,"$73,630","$17,280",Yes,Auto
Harbor Branch,Branch,Personal,2021 VY,"$41,300",Purchase,"$8,030","$3,700",Employed,36-month,6.63%,Simple,Late docs,No,Yes,3366.24,3 stars,0,10,1 borrower,$0,"$5,150",Yes,Real-estate
Highland Branch,Branch,Auto,2021 VY,"$54,100",Purchase,"$21,410","$26,900",Employed,30-month,9.07%,Simple,On time,No,Yes,21977.03,3 stars,4,11,1 borrower,"$6,660","$7,760",No,Unsecured
Harbor Branch,Online,Student,2022 VY,"$51,600",Purchase,"$4,570","$13,600",Employed,120-month,4.80%,Simple,On time,Yes,Yes,11605.33,3 stars,5,12,2 borrowers,$0,"$8,470",No,Real-estate
North Branch,Branch,Personal,2023 VY,"$55,300",Refinance,"$8,420","$23,200",Employed,36-month,6.82%,Simple,On time,No,Yes,22322.11,3 stars,7,11,1 borrower,$0,"$7,070",Yes,Real-estate
River Branch,Branch,HELOC,2022 VY,"$100,600",Purchase,"$30,880","$59,900",Employed,180-month,7.49%,Schedule-heavy,3-year prior,Yes,Yes,36841.68,1 star,4,17,1 borrower,"$14,270","$22,310",Yes,Auto
Harbor Branch,Branch,Card,2022 VY,"$40,600",Refinance,"$3,090","$5,800",Self-employed,24-month,14.24%,Simple,On time,Yes,No,5158.33,3 stars,2,6,1 borrower,$0,"$1,520",Yes,Real-estate
Central Branch,Branch,SME,2021 VY,"$155,900",Purchase,"$56,170","$77,100",Employed,60-month,6.52%,Schedule-heavy,On time,Yes,Yes,73629.26,4 stars,1,24,1 borrower,$0,"$38,250",No,Unsecured
Capitol Branch,Broker,Student,2020 VY,"$34,800",Purchase,"$14,130","$13,500",Public,120-month,4.24%,Simple,On time,Yes,No,12152.0,4 stars,7,6,2 borrowers,$0,$960,Yes,Real-estate
Capitol Branch,Branch,Student,2021 VY,"$34,900",Purchase,"$9,650","$16,100",Employed,120-month,6.78%,Simple,On time,No,No,14832.98,3 stars,4,5,1 borrower,$0,"$2,370",Yes,Real-estate
Harbor Branch,Broker,Ag,2023 VY,"$78,400",Purchase,"$31,910","$57,500",Employed,84-month,4.44%,Schedule-heavy,On time,No,No,58424.09,4 stars,7,13,4 borrowers,$0,"$14,340",Yes,Real-estate
Harbor Branch,Branch,Auto,2022 VY,"$78,700",Purchase,"$15,900","$16,200",Public,60-month,7.21%,Simple,On time,Yes,No,11861.87,2 stars,0,10,1 borrower,"$1,470","$3,110",Yes,Real-estate
Harbor Branch,Online,Personal,2021 VY,"$74,900",Purchase,"$15,320","$15,300",Employed,36-month,9.30%,Simple,On time,No,No,11771.02,2 stars,5,10,1 borrower,$0,"$6,010",Yes,Auto
Harbor Branch,Branch,Mortgage,2023 VY,"$101,100",Purchase,"$9,440","$272,900",Employed,360-month,3.90%,Full-doc,On time,Yes,No,279202.17,4 stars,0,13,1 borrower,"$54,180","$5,600",Yes,Real-estate
Capitol Branch,Branch,Mortgage,2019 VY,"$88,300",Purchase,"$4,790","$156,300",Retired,180-month,6.72%,Full-doc,Late docs,No,No,119669.7,3 stars,1,13,2 borrowers,"$37,590","$16,460",Yes,Auto
Harbor Branch,Broker,Personal,2021 VY,"$68,100",Refinance,"$8,070","$5,900",Retired,36-month,13.43%,Simple,On time,No,No,4051.94,2 stars,3,11,3 borrowers,$0,"$10,430",Yes,Unsecured
Highland Branch,Broker,SME,2021 VY,"$69,300",Purchase,"$15,190","$94,300",Contract,60-month,10.04%,Schedule-heavy,On time,Yes,No,69095.1,3 stars,2,10,2 borrowers,$0,"$2,410",Yes,Unsecured
Delta Branch,Broker,Personal,Not Available,"$39,100",Purchase,"$10,010","$16,600",Employed,36-month,10.58%,Simple,On time,Yes,No,12441.35,2 stars,2,5,1 borrower,$0,"$4,920",Yes,Real-estate
River Branch,Branch,Card,2023 VY,"$53,000",Purchase,"$4,360","$10,000",Self-employed,24-month,14.83%,Simple,Late docs,Yes,Yes,6505.04,3 stars,1,11,1 borrower,$0,"$3,600",No,Auto
River Branch,Branch,Auto,2022 VY,"$23,200",Purchase,"$4,190","$26,200",Retired,60-month,6.56%,Simple,Late docs,Yes,No,18788.18,2 stars,7,4,2 borrowers,"$6,660","$5,630",Yes,Auto
Prairie Branch,Online,Personal,2019 VY,"$66,900",Refinance,"$8,380","$21,700",Retired,36-month,10.49%,Simple,Late docs,No,No,17554.35,2 stars,3,9,1 borrower,$0,"$3,000",Yes,Real-estate
North Branch,Branch,Personal,2020 VY,"$34,700",Purchase,"$7,510","$18,900",Employed,18-month,9.49%,Simple,On time,Yes,Yes,15086.32,2 stars,7,10,2 borrowers,$0,"$5,470",Yes,Auto
North Branch,Online,Auto,2023 VY,"$48,600",Purchase,"$4,040","$42,600",Employed,60-month,10.00%,Simple,On time,Yes,No,30886.82,3 stars,6,7,1 borrower,"$7,720","$6,360",Yes,Unsecured
Harbor Branch,Online,Auto,2021 VY,"$53,700",Purchase,"$16,480","$45,900",Employed,60-month,6.70%,Simple,On time,Yes,Yes,40220.73,2 stars,3,11,1 borrower,"$8,900","$8,210",No,Auto
Capitol Branch,Online,Personal,Not Available,"$52,700",Purchase,"$11,970","$5,400",Employed,36-month,8.22%,Simple,On time,No,Yes,4267.09,2 stars,6,11,1 borrower,$0,"$12,650",Yes,Auto
Capitol Branch,Broker,Auto,2023 VY,"$51,100",Purchase,"$16,020","$5,100",Contract,60-month,3.93%,Simple,On time,Yes,No,3304.5,4 stars,4,7,1 borrower,"$1,090","$5,030",No,Real-estate
Capitol Branch,Online,Personal,2022 VY,"$50,800",Purchase,"$3,500","$14,000",Employed,36-month,4.33%,Simple,On time,No,Yes,15337.8,5 stars,3,13,3 borrowers,$0,"$9,760",Yes,Auto
Highland Branch,Branch,Auto,2023 VY,"$56,800",Refinance,"$9,900","$25,900",Employed,60-month,3.90%,Simple,On time,No,Yes,26063.01,4 stars,7,13,2 borrowers,"$1,830","$6,980",Yes,Auto
River Branch,Branch,Auto,Not Available,"$49,100",Refinance,"$18,680","$21,400",Employed,30-month,5.18%,Simple,On time,Yes,Yes,22592.52,3 stars,4,13,3 borrowers,"$2,880","$8,440",Yes,Real-estate
Harbor Branch,Online,Auto,2022 VY,"$42,500",Purchase,"$2,200","$27,400",Employed,60-month,7.86%,Simple,On time,Yes,No,23017.39,3 stars,3,7,2 borrowers,"$4,810","$4,420",Yes,Auto
River Branch,Online,Auto,2023 VY,"$79,600",Refinance,"$15,660","$19,900",Employed,60-month,6.19%,Simple,On time,Yes,No,16241.85,3 stars,4,10,1 borrower,"$2,480","$5,750",Yes,Real-estate
Prairie Branch,Branch,Personal,2023 VY,"$14,100",Purchase,$0,"$10,600",Employed,36-month,12.83%,Simple,Late docs,Yes,No,8322.2,3 stars,8,3,2 borrowers,$0,$550,No,Unsecured
Harbor Branch,Branch,Personal,2021 VY,"$48,300",Refinance,"$5,570","$11,300",Employed,36-month,10.22%,Simple,On time,No,No,10759.03,2 stars,5,7,1 borrower,$0,"$2,100",No,Real-estate
North Branch,Online,Personal,2023 VY,"$43,600",Purchase,"$8,910","$13,000",Retired,36-month,7.94%,Simple,Late docs,No,No,11394.76,3 stars,4,7,2 borrowers,$0,"$10,490",Yes,Auto
Harbor Branch,Broker,Student,2020 VY,"$31,800",Purchase,"$2,670","$23,300",Employed,60-month,12.53%,Simple,On time,Yes,No,11500.68,1 star,1,4,1 borrower,$0,"$6,400",No,Unsecured
Central Branch,Online,Ag,2023 VY,"$28,400",Purchase,"$7,070","$53,900",Self-employed,84-month,7.13%,Schedule-heavy,Late docs,Yes,No,39260.46,2 stars,8,6,3 borrowers,$0,"$2,170",No,Auto
Harbor Branch,Branch,Card,2023 VY,"$44,500",Purchase,"$17,230","$7,200",Employed,24-month,13.40%,Simple,Late docs,Yes,Yes,5951.94,3 stars,6,11,2 borrowers,$0,"$6,310",Yes,Auto
North Branch,Branch,Mortgage,2022 VY,"$88,700",Refinance,"$11,310","$287,900",Employed,360-month,7.94%,Full-doc,On time,Yes,No,217982.13,2 stars,7,13,2 borrowers,"$49,360","$16,350",Yes,Auto
Central Branch,Online,Mortgage,2022 VY,"$126,200",Purchase,"$9,070","$223,300",Employed,360-month,7.48%,Full-doc,3-year prior,No,No,153640.21,2 stars,9,17,2 borrowers,"$27,630","$12,760",Yes,Real-estate
Central Branch,Branch,Auto,2022 VY,"$64,600",Purchase,"$21,170","$30,600",Employed,60-month,8.49%,Simple,On time,No,Yes,24698.93,3 stars,0,14,2 borrowers,"$6,020","$7,830",Yes,Unsecured
North Branch,Online,Student,2020 VY,"$17,300",Purchase,"$3,350","$12,200",Employed,120-month,6.93%,Simple,On time,No,Yes,11096.15,4 stars,7,8,2 borrowers,$0,"$3,200",Yes,Unsecured
North Branch,Online,Student,2021 VY,"$23,600",Refinance,"$8,930","$10,800",Employed,120-month,11.20%,Simple,Late docs,Yes,No,4486.22,1 star,9,4,2 borrowers,$0,"$1,710",No,Unsecured
Highland Branch,Branch,HELOC,2021 VY,"$112,800",Refinance,"$16,140","$60,900",Self-employed,90-month,7.97%,Schedule-heavy,On time,Yes,Yes,47899.06,2 stars,7,19,1 borrower,"$11,080","$15,910",Yes,Auto
North Branch,Branch,Card,2022 VY,"$31,200",Purchase,"$7,020","$9,100",Employed,24-month,14.78%,Simple,On time,Yes,No,5019.08,2 stars,3,5,2 borrowers,$0,"$2,130",Yes,Auto
Harbor Branch,Branch,Mortgage,2022 VY,"$89,500",Purchase,"$35,200","$167,300",Employed,360-month,8.04%,Full-doc,On time,No,Yes,126379.4,2 stars,2,16,1 borrower,"$35,750","$1,850",Yes,Real-estate
Prairie Branch,Broker,Student,2021 VY,"$27,900",Purchase,"$2,030","$26,500",Self-employed,120-month,8.72%,Simple,On time,No,No,18579.0,2 stars,4,5,2 borrowers,$0,"$4,990",Yes,Real-estate
Prairie Branch,Online,HELOC,2023 VY,"$77,200",Refinance,"$24,840","$92,100",Employed,180-month,9.70%,Schedule-heavy,On time,No,Yes,65818.07,2 stars,7,15,2 borrowers,"$22,170","$14,100",Yes,Unsecured
North Branch,Branch,Auto,2021 VY,"$111,900",Refinance,"$32,490","$17,200",Employed,60-month,7.69%,Simple,On time,Yes,No,15240.06,4 stars,3,14,1 borrower,"$1,730","$27,860",Yes,Unsecured
Prairie Branch,Broker,Card,2022 VY,"$46,200",Purchase,"$15,360","$12,200",Employed,24-month,18.75%,Simple,On time,Yes,Yes,10109.88,3 stars,7,11,2 borrowers,$0,"$2,850",Yes,Unsecured
River Branch,Branch,Personal,2022 VY,"$60,100",Refinance,"$7,680","$2,300",Employed,36-month,7.96%,Simple,On time,No,Yes,951.58,3 stars,2,12,1 borrower,$0,"$11,430",Yes,Auto
Highland Branch,Branch,Ag,2020 VY,"$49,000",Purchase,"$10,080","$89,500",Employed,84-month,9.63%,Schedule-heavy,On time,Yes,Yes,64436.59,2 stars,6,12,2 borrowers,$0,"$11,660",Yes,Unsecured
Capitol Branch,Broker,Student,2023 VY,"$32,700",Refinance,"$3,260","$12,600",Retired,120-month,6.11%,Simple,On time,No,No,12263.39,3 stars,0,6,2 borrowers,$0,"$5,500",Yes,Auto
Harbor Branch,Branch,Personal,2022 VY,"$67,700",Purchase,"$27,150","$18,800",Retired,36-month,5.96%,Simple,On time,Yes,No,18807.65,4 stars,6,10,2 borrowers,$0,"$16,350",Yes,Real-estate
Prairie Branch,Branch,SME,2019 VY,"$83,500",Purchase,"$2,140","$56,400",Retired,60-month,6.57%,Schedule-heavy,On time,No,No,43702.57,2 stars,7,12,2 borrowers,$0,"$20,770",Yes,Auto
River Branch,Online,Personal,Not Available,"$51,000",Purchase,"$1,940","$13,700",Employed,36-month,9.49%,Simple,On time,Yes,Yes,13374.81,4 stars,5,11,1 borrower,$0,"$10,420",Yes,Unsecured
Capitol Branch,Branch,Student,2023 VY,"$19,900",Purchase,"$7,440","$12,900",Employed,120-month,9.32%,Simple,Late docs,No,No,7840.35,3 stars,7,3,1 borrower,$0,"$4,970",Yes,Unsecured
River Branch,Online,Student,2023 VY,"$17,700",Refinance,"$3,170","$16,700",Employed,120-month,7.04%,Simple,2-year prior,Yes,No,10839.32,2 stars,4,4,2 borrowers,$0,"$2,900",Yes,Auto
River Branch,Branch,SME,2023 VY,"$156,700",Purchase,"$39,670","$139,400",Employed,60-month,4.51%,Schedule-heavy,On time,Yes,Yes,134529.96,3 stars,6,24,1 borrower,$0,"$21,050",Yes,Auto
River Branch,Branch,HELOC,2023 VY,"$72,500",Refinance,"$10,760","$52,900",Employed,180-month,9.64%,Schedule-heavy,On time,Yes,No,41269.9,3 stars,1,10,1 borrower,"$5,160","$16,750",No,Unsecured
River Branch,Branch,Personal,2021 VY,"$14,000",Refinance,"$2,660","$24,300",Employed,36-month,6.93%,Simple,Late docs,Yes,No,13592.26,4 stars,5,2,1 borrower,$0,"$2,960",No,Real-estate
Delta Branch,Branch,Auto,2022 VY,"$93,300",Purchase,"$10,840","$19,000",Employed,60-month,4.61%,Simple,2-year prior,No,No,14901.26,3 stars,2,12,1 borrower,"$5,280","$4,230",Yes,Auto
Capitol Branch,Branch,Auto,2022 VY,"$42,000",Refinance,"$8,980","$33,500",Employed,60-month,5.04%,Simple,On time,No,Yes,34181.48,3 stars,2,13,4 borrowers,"$8,710","$3,760",Yes,Auto
Central Branch,Branch,Personal,2021 VY,"$47,600",Purchase,"$12,450","$6,000",Employed,36-month,11.96%,Simple,On time,No,Yes,3958.55,3 stars,4,10,1 borrower,$0,"$3,810",Yes,Unsecured
Central Branch,Broker,Mortgage,2021 VY,"$144,500",Purchase,"$25,380","$215,900",Contract,360-month,9.45%,Full-doc,On time,No,No,176436.38,3 stars,2,19,1 borrower,"$37,130","$31,310",No,Unsecured
Prairie Branch,Branch,Auto,2020 VY,"$55,200",Purchase,"$8,040","$17,900",Employed,60-month,10.60%,Simple,On time,No,Yes,12407.73,2 stars,3,13,3 borrowers,"$1,160","$4,070",Yes,Unsecured
River Branch,Branch,Auto,2023 VY,"$54,700",Purchase,"$6,130","$33,800",Public,60-month,9.60%,Simple,2-year prior,Yes,Yes,23430.74,3 stars,1,14,4 borrowers,"$8,870","$4,920",Yes,Unsecured
Prairie Branch,Branch,Mortgage,2023 VY,"$52,700",Refinance,"$15,830","$255,600",Employed,360-month,3.90%,Full-doc,On time,No,No,260646.05,5 stars,2,7,1 borrower,"$38,740","$7,340",Yes,Auto
North Branch,Branch,HELOC,2023 VY,"$42,200",Purchase,"$7,770","$14,800",Self-employed,180-month,9.22%,Schedule-heavy,On time,Yes,No,9820.59,1 star,3,8,3 borrowers,"$2,160","$1,580",Yes,Auto
Highland Branch,Branch,Auto,2021 VY,"$54,700",Purchase,"$6,800","$11,900",Employed,90-month,5.21%,Simple,On time,No,Yes,12192.01,3 stars,1,11,1 borrower,"$1,340","$13,190",Yes,Real-estate
North Branch,Online,Card,2021 VY,"$60,900",Purchase,"$9,600","$5,200",Employed,24-month,13.59%,Simple,Late docs,Yes,Yes,3706.97,3 stars,7,13,2 borrowers,$0,"$8,100",Yes,Real-estate
Prairie Branch,Branch,Mortgage,2022 VY,"$101,800",Purchase,"$22,730","$318,500",Employed,360-month,10.87%,Full-doc,On time,No,No,227139.54,3 stars,7,13,1 borrower,"$26,550","$6,490",Yes,Unsecured
Highland Branch,Broker,Auto,2022 VY,"$48,400",Refinance,"$15,760","$28,200",Employed,60-month,9.86%,Simple,Late docs,Yes,Yes,17696.19,2 stars,10,11,1 borrower,"$6,590","$3,980",Yes,Unsecured
Capitol Branch,Broker,Mortgage,2023 VY,"$92,600",Purchase,"$19,350","$214,800",Self-employed,180-month,4.69%,Full-doc,On time,Yes,Yes,200653.29,3 stars,0,16,1 borrower,"$35,010","$18,850",Yes,Real-estate
Delta Branch,Branch,Auto,2023 VY,"$21,300",Refinance,"$8,710","$17,800",Employed,60-month,5.40%,Simple,On time,Yes,Yes,17866.33,3 stars,3,8,2 borrowers,"$3,210","$3,530",Yes,Real-estate
Capitol Branch,Branch,Auto,2023 VY,"$67,200",Purchase,"$17,550","$27,500",Employed,60-month,6.52%,Simple,On time,Yes,No,24058.54,3 stars,6,9,1 borrower,"$6,690","$8,530",Yes,Real-estate
Delta Branch,Branch,Mortgage,2023 VY,"$97,200",Refinance,"$36,770","$145,100",Retired,360-month,10.57%,Full-doc,On time,Yes,No,97553.22,2 stars,2,13,1 borrower,"$13,430","$9,360",No,Unsecured
North Branch,Online,Personal,Not Available,"$87,500",Purchase,"$27,070","$16,200",Employed,54-month,9.26%,Simple,3-year prior,Yes,Yes,14738.6,4 stars,4,16,2 borrowers,$0,"$19,880",Yes,Unsecured
Harbor Branch,Branch,Auto,2022 VY,"$58,100",Purchase,"$7,100","$24,900",Self-employed,90-month,10.03%,Simple,On time,Yes,Yes,19999.53,3 stars,4,12,1 borrower,"$3,650","$11,490",No,Unsecured
Highland Branch,Broker,Mortgage,2019 VY,"$61,800",Purchase,"$23,000","$216,900",Self-employed,360-month,4.92%,Full-doc,On time,Yes,No,199652.62,3 stars,0,10,3 borrowers,"$50,060","$11,440",Yes,Real-estate
Harbor Branch,Online,Auto,2020 VY,"$57,000",Purchase,"$19,630","$25,100",Employed,60-month,5.83%,Simple,On time,Yes,No,18984.1,2 stars,4,8,1 borrower,"$1,590","$6,990",No,Auto
Delta Branch,Online,HELOC,2022 VY,"$78,800",Refinance,"$19,630","$57,000",Employed,180-month,4.46%,Schedule-heavy,On time,No,No,53974.26,3 stars,3,10,1 borrower,"$13,270","$19,360",Yes,Auto
Harbor Branch,Online,Auto,2021 VY,"$66,700",Purchase,"$7,540","$25,800",Employed,60-month,4.69%,Simple,On time,Yes,Yes,25311.75,3 stars,5,13,1 borrower,"$4,260","$12,230",Yes,Auto
Central Branch,Broker,Ag,2020 VY,"$72,800",Purchase,"$8,070","$34,600",Contract,84-month,9.65%,Schedule-heavy,Late docs,Yes,No,21073.04,3 stars,6,10,1 borrower,$0,"$8,550",Yes,Unsecured
Harbor Branch,Branch,Student,Not Available,"$16,700",Refinance,"$5,010","$21,900",Employed,120-month,6.73%,Simple,On time,Yes,No,15575.65,2 stars,4,3,1 borrower,$0,"$4,020",No,Auto
Central Branch,Branch,Ag,2020 VY,"$22,900",Purchase,"$3,270","$88,400",Employed,84-month,11.39%,Schedule-heavy,On time,Yes,No,50695.41,2 stars,4,4,2 borrowers,$0,"$5,180",No,Unsecured
North Branch,Branch,HELOC,Not Available,"$95,400",Purchase,"$28,250","$61,200",Employed,180-month,3.90%,Schedule-heavy,On time,Yes,Yes,63453.16,4 stars,0,17,2 borrowers,"$6,580","$18,140",Yes,Auto
Highland Branch,Broker,Personal,2023 VY,"$76,900",Refinance,"$13,740","$16,900",Public,18-month,9.66%,Simple,On time,No,No,14482.5,2 stars,7,10,1 borrower,$0,"$15,100",Yes,Real-estate
North Branch,Online,Mortgage,2023 VY,"$94,500",Purchase,"$22,790","$230,800",Contract,360-month,4.92%,Full-doc,On time,Yes,Yes,231165.63,3 stars,0,16,1 borrower,"$33,420","$11,100",Yes,Auto
North Branch,Online,Personal,2023 VY,"$66,600",Refinance,"$8,610","$18,400",Retired,36-month,12.32%,Simple,On time,Yes,Yes,10078.85,2 stars,7,14,2 borrowers,$0,"$9,100",Yes,Unsecured
Central Branch,Branch,HELOC,2021 VY,"$116,400",Purchase,"$11,700","$56,300",Self-employed,180-month,4.35%,Schedule-heavy,On time,Yes,Yes,55936.24,4 stars,7,19,1 borrower,"$15,050","$7,460",Yes,Real-estate
Capitol Branch,Broker,SME,2023 VY,"$122,000",Refinance,"$6,860","$50,800",Self-employed,60-month,8.36%,Schedule-heavy,Late docs,Yes,No,32562.28,2 stars,8,17,2 borrowers,$0,"$19,150",Yes,Auto
Highland Branch,Online,Auto,2020 VY,"$41,700",Purchase,"$14,790","$28,300",Employed,60-month,11.68%,Simple,Late docs,Yes,Yes,17914.89,2 stars,8,12,3 borrowers,"$4,340","$4,380",Yes,Unsecured
Harbor Branch,Online,Card,Not Available,"$57,700",Refinance,"$17,620","$3,400",Public,24-month,19.41%,Simple,Late docs,No,No,1271.83,2 stars,3,8,1 borrower,$0,"$5,760",Yes,Unsecured
Highland Branch,Broker,Personal,2021 VY,"$73,700",Purchase,"$31,450","$15,400",Employed,36-month,9.82%,Simple,On time,Yes,No,11326.67,2 stars,7,11,2 borrowers,$0,"$17,550",No,Auto
Capitol Branch,Branch,Mortgage,2021 VY,"$109,000",Refinance,"$31,830","$207,700",Employed,360-month,8.15%,Full-doc,On time,No,No,160787.64,3 stars,4,16,3 borrowers,"$55,810","$6,310",Yes,Unsecured
Highland Branch,Branch,Student,2023 VY,"$34,700",Purchase,"$11,600","$15,200",Self-employed,120-month,9.57%,Simple,Late docs,Yes,Yes,9778.82,3 stars,5,10,2 borrowers,$0,"$7,320",Yes,Unsecured
Highland Branch,Online,Personal,2023 VY,"$43,700",Refinance,"$11,320","$14,800",Self-employed,36-month,13.18%,Simple,On time,Yes,No,8262.68,2 stars,5,9,4 borrowers,$0,"$3,700",Yes,Unsecured
Prairie Branch,Branch,SME,2022 VY,"$100,900",Purchase,"$35,080","$63,900",Employed,60-month,9.86%,Schedule-heavy,On time,Yes,Yes,54053.95,3 stars,4,17,1 borrower,$0,"$2,680",Yes,Unsecured
Prairie Branch,Branch,HELOC,2023 VY,"$84,700",Purchase,"$33,160","$64,900",Employed,180-month,8.50%,Schedule-heavy,On time,Yes,No,47760.94,2 stars,2,12,2 borrowers,"$3,770","$2,480",Yes,Auto
North Branch,Branch,Personal,2020 VY,"$51,100",Refinance,"$15,740","$14,300",Employed,36-month,7.22%,Simple,Late docs,Yes,Yes,12031.21,3 stars,4,11,1 borrower,$0,"$6,070",Yes,Auto
North Branch,Branch,Mortgage,2023 VY,"$129,400",Purchase,"$11,030","$188,100",Public,360-month,7.51%,Full-doc,On time,No,Yes,173410.04,4 stars,0,21,1 borrower,"$45,570","$16,110",Yes,Unsecured
Prairie Branch,Broker,Auto,2021 VY,"$14,000",Purchase,"$2,650","$32,300",Employed,60-month,6.43%,Simple,On time,No,No,28219.41,3 stars,7,5,4 borrowers,"$3,210","$1,310",Yes,Auto
Highland Branch,Online,SME,2021 VY,"$111,400",Refinance,"$10,980","$91,100",Public,60-month,8.84%,Schedule-heavy,On time,Yes,Yes,78438.9,3 stars,5,18,1 borrower,$0,"$19,360",Yes,Unsecured
Central Branch,Branch,Personal,2020 VY,"$50,600",Purchase,"$3,440","$17,100",Employed,18-month,8.14%,Simple,On time,Yes,Yes,16370.15,4 stars,2,14,4 borrowers,$0,"$6,660",Yes,Unsecured
Harbor Branch,Branch,Card,2021 VY,"$27,900",Purchase,"$7,340","$12,000",Contract,24-month,16.64%,Simple,On time,No,No,8350.34,3 stars,5,5,2 borrowers,$0,"$1,030",Yes,Unsecured
Harbor Branch,Branch,Card,2021 VY,"$66,800",Purchase,"$25,210","$11,900",Employed,24-month,14.87%,Simple,On time,Yes,Yes,10531.2,2 stars,5,15,3 borrowers,$0,"$6,680",Yes,Real-estate
Harbor Branch,Online,Personal,2022 VY,"$39,000",Purchase,"$2,060","$16,800",Retired,36-month,5.98%,Simple,On time,Yes,Yes,16605.11,3 stars,1,12,4 borrowers,$0,"$1,690",Yes,Real-estate
Highland Branch,Broker,Auto,2020 VY,"$50,900",Purchase,"$2,800","$19,700",Employed,60-month,7.83%,Simple,2-year prior,No,Yes,12586.03,2 stars,4,12,2 borrowers,"$1,650","$1,750",Yes,Auto
River Branch,Broker,SME,2020 VY,"$193,200",Purchase,"$72,130","$42,500",Employed,60-month,10.32%,Schedule-heavy,Late docs,Yes,Yes,28236.15,2 stars,2,28,4 borrowers,$0,"$13,120",Yes,Unsecured
North Branch,Branch,Student,2022 VY,"$37,100",Purchase,"$5,920","$19,300",Employed,120-month,11.32%,Simple,On time,Yes,No,12754.09,2 stars,0,6,2 borrowers,$0,"$6,720",Yes,Unsecured
Delta Branch,Branch,Mortgage,2020 VY,"$110,400",Purchase,"$5,070","$331,900",Employed,360-month,10.27%,Full-doc,3-year prior,Yes,Yes,197628.45,2 stars,7,19,2 borrowers,"$73,180","$19,880",Yes,Unsecured
River Branch,Branch,Personal,2023 VY,"$58,900",Purchase,"$15,910","$15,700",Employed,36-month,9.19%,Simple,On time,Yes,No,12762.86,3 stars,1,9,2 borrowers,$0,"$12,850",Yes,Real-estate
Central Branch,Online,Personal,Not Available,"$49,000",Purchase,"$17,050","$2,000",Contract,54-month,12.03%,Simple,Late docs,Yes,No,1518.61,3 stars,9,7,1 borrower,$0,"$9,500",Yes,Unsecured
North Branch,Branch,Ag,2022 VY,"$132,000",Purchase,"$31,630","$84,800",Retired,84-month,3.90%,Schedule-heavy,On time,No,Yes,86047.2,4 stars,4,21,1 borrower,$0,"$18,900",Yes,Real-estate
Capitol Branch,Online,Mortgage,2023 VY,"$117,700",Purchase,"$29,800","$318,200",Self-employed,360-month,5.53%,Full-doc,On time,Yes,No,303462.96,3 stars,0,15,1 borrower,"$30,120","$10,820",Yes,Auto
River Branch,Online,HELOC,2020 VY,"$67,000",Purchase,"$13,990","$49,200",Self-employed,180-month,5.95%,Schedule-heavy,On time,Yes,No,42549.57,3 stars,6,9,1 borrower,"$9,820","$1,430",Yes,Auto
River Branch,Branch,Mortgage,2019 VY,"$47,200",Refinance,"$7,850","$323,000",Employed,360-month,5.54%,Full-doc,On time,Yes,Yes,290774.76,3 stars,1,10,1 borrower,"$24,200","$7,970",Yes,Real-estate
